source_stem,n_roi,n_near_pre,max_transport_mechanism_score,median_transport_source_residual_score,n_priority
17_c2_x10_HighHighCOV_150723,10,8,0.8915449914037217,0.510546875,4
5_c2_x10_260623,10,0,0.8068169751213592,0.4869140625,0
9_c2_x10_010723,10,8,0.8000324256674758,0.6544921875,2
14_c2_x10_HighCOV_110723,8,0,0.7478631295509709,0.4630859375,0
7_c2_x10_290623,8,4,0.743074433656958,0.351953125,0
12_c2_x10_070723,10,8,0.7138599185881878,0.347265625,0
11_c2_x10_050723,10,0,0.7099226334951457,0.5353515625,0
16_c2_x10_HighHighCOV_130723,10,0,0.6869468674150486,0.27421874999999996,0
4_c2_x10_240623,10,0,0.670529619235437,0.6150390625,0
10_c2_x10_030723,8,0,0.67037109375,0.4486328125,0
2_c2_x14_200623,10,0,0.6572212530339806,0.4888671875,0
6_c2_x10_270623_2,10,4,0.6032133014765372,0.49726562500000004,0
8_c2_x10_300623,10,0,0.5811925439927185,0.6722656250000001,0
15_c2_x5_HighCOV_120723,4,0,0.5785556356189321,0.5140625,0
