feature_set,mode,target,n_eval,n_sources,n_cycles,n_positive,roc_auc,average_precision,spearman_rho,spearman_p,empirical_p_ge_observed,null_auc_mean,null_auc_p95,n_permutation
acquisition_context,raw_unweighted,future_any_drop_within_8cycles,72,9,24,36,1.0,1.0,0.8661089445557502,9.065255423029341e-23,,,,
acquisition_context,raw_weighted,future_any_drop_within_8cycles,72,9,24,36,1.0,1.0,0.8661089445557502,9.065255423029341e-23,,,,
acquisition_context,source_rank_unweighted,future_any_drop_within_8cycles,72,9,24,36,0.8256172839506173,0.8283384710404901,0.5640400842631582,2.475882656792856e-07,,,,
acquisition_context,source_rank_weighted,future_any_drop_within_8cycles,72,9,24,36,0.8256172839506173,0.8283384710404901,0.5640400842631582,2.475882656792856e-07,,,,
echem_regime,raw_unweighted,future_any_drop_within_8cycles,72,9,24,36,0.6875,0.6732577879636703,0.32504180333157684,0.005338267733520037,,,,
echem_regime,raw_weighted,future_any_drop_within_8cycles,72,9,24,36,0.6875,0.6732577879636703,0.32504180333157684,0.005338267733520037,,,,
echem_regime,source_rank_unweighted,future_any_drop_within_8cycles,72,9,24,36,0.5555555555555556,0.5902373021858316,0.09632962596836683,0.42084680206382696,,,,
echem_regime,source_rank_weighted,future_any_drop_within_8cycles,72,9,24,36,0.5555555555555556,0.5902373021858316,0.09632962596836683,0.42084680206382696,,,,
video_all,raw_unweighted,future_any_drop_within_8cycles,72,9,24,36,0.724537037037037,0.7932812029268553,0.38894707232364706,0.0007339650322940792,,,,
video_all,raw_weighted,future_any_drop_within_8cycles,72,9,24,36,0.724537037037037,0.7932812029268553,0.38894707232364706,0.0007339650322940792,,,,
video_all,source_rank_unweighted,future_any_drop_within_8cycles,72,9,24,36,0.6365740740740741,0.6403629853581487,0.23657605429995024,0.04541595528242212,,,,
video_all,source_rank_weighted,future_any_drop_within_8cycles,72,9,24,36,0.6365740740740741,0.6403629853581487,0.23657605429995024,0.04541595528242212,,,,
video_plus_echem,raw_unweighted,future_any_drop_within_8cycles,72,9,24,36,0.7615740740740741,0.8132463953435549,0.4531032904388878,6.424268111740446e-05,,,,
video_plus_echem,raw_weighted,future_any_drop_within_8cycles,72,9,24,36,0.7615740740740741,0.8132463953435549,0.4531032904388878,6.424268111740446e-05,,,,
video_plus_echem,source_rank_unweighted,future_any_drop_within_8cycles,72,9,24,36,0.5825617283950617,0.5674028107533335,0.14301490288189084,0.23073980252511303,,,,
video_plus_echem,source_rank_weighted,future_any_drop_within_8cycles,72,9,24,36,0.5825617283950617,0.5674028107533335,0.14301490288189084,0.23073980252511303,,,,
acquisition_context,raw_unweighted,future_any_drop_within_16cycles,72,9,24,57,0.7040935672514619,0.9145045983645039,0.2871523617165469,0.01445830665481292,0.003992015968063872,0.5031883040935672,0.6432748538011696,500.0
acquisition_context,raw_weighted,future_any_drop_within_16cycles,72,9,24,57,0.7040935672514619,0.9145045983645039,0.2871523617165469,0.01445830665481292,0.003992015968063872,0.5031883040935672,0.6432748538011696,500.0
acquisition_context,source_rank_unweighted,future_any_drop_within_16cycles,72,9,24,57,0.3684210526315789,0.7230453066744684,-0.18512688076281678,0.1195056265049961,0.9421157684630739,0.49612397660818713,0.6304093567251461,500.0
acquisition_context,source_rank_weighted,future_any_drop_within_16cycles,72,9,24,57,0.3684210526315789,0.7230453066744684,-0.18512688076281678,0.1195056265049961,0.9421157684630739,0.49612397660818713,0.6304093567251461,500.0
echem_regime,raw_unweighted,future_any_drop_within_16cycles,72,9,24,57,0.631578947368421,0.8655927053230297,0.1852699187449544,0.11921519140430123,0.06786427145708583,0.5085684210526316,0.6352631578947368,500.0
echem_regime,raw_weighted,future_any_drop_within_16cycles,72,9,24,57,0.631578947368421,0.8655927053230297,0.1852699187449544,0.11921519140430123,0.06786427145708583,0.5085684210526316,0.6352631578947368,500.0
echem_regime,source_rank_unweighted,future_any_drop_within_16cycles,72,9,24,57,0.6421052631578946,0.8975142702921814,0.2001350245887086,0.09187653369122847,0.031936127744510975,0.49684912280701754,0.631578947368421,500.0
echem_regime,source_rank_weighted,future_any_drop_within_16cycles,72,9,24,57,0.6421052631578946,0.8975142702921814,0.2001350245887086,0.09187653369122847,0.031936127744510975,0.49684912280701754,0.631578947368421,500.0
video_all,raw_unweighted,future_any_drop_within_16cycles,72,9,24,57,0.4538011695906433,0.7936905324382724,-0.06500010480116677,0.5874978329019918,0.7544910179640718,0.5003695906432749,0.6339766081871344,500.0
video_all,raw_weighted,future_any_drop_within_16cycles,72,9,24,57,0.4538011695906433,0.7936905324382724,-0.06500010480116677,0.5874978329019918,0.7544910179640718,0.5003695906432749,0.6339766081871344,500.0
video_all,source_rank_unweighted,future_any_drop_within_16cycles,72,9,24,57,0.45380116959064326,0.787444297948483,-0.06500010480116677,0.5874978329019918,0.7065868263473054,0.4993684210526316,0.6387134502923976,500.0
video_all,source_rank_weighted,future_any_drop_within_16cycles,72,9,24,57,0.45380116959064326,0.787444297948483,-0.06500010480116677,0.5874978329019918,0.7065868263473054,0.4993684210526316,0.6387134502923976,500.0
video_plus_echem,raw_unweighted,future_any_drop_within_16cycles,72,9,24,57,0.5941520467836258,0.8498347013100711,0.13246856801250445,0.2673189886193187,0.16766467065868262,0.5071485380116959,0.6399999999999998,500.0
video_plus_echem,raw_weighted,future_any_drop_within_16cycles,72,9,24,57,0.5941520467836258,0.8498347013100711,0.13246856801250445,0.2673189886193187,0.16766467065868262,0.5071485380116959,0.6399999999999998,500.0
video_plus_echem,source_rank_unweighted,future_any_drop_within_16cycles,72,9,24,57,0.6140350877192983,0.8684526166845679,0.16044329666110788,0.1781992864350948,0.06786427145708583,0.4974923976608187,0.6234502923976607,500.0
video_plus_echem,source_rank_weighted,future_any_drop_within_16cycles,72,9,24,57,0.6140350877192983,0.8684526166845679,0.16044329666110788,0.1781992864350948,0.06786427145708583,0.4974923976608187,0.6234502923976607,500.0
