feature_set,method,delta_auc_vs_acquisition_raw,delta_ap_vs_acquisition_raw,delta_rho_vs_acquisition_raw,roc_auc,average_precision,spearman_rho
video_plus_echem,source_centered,0.039766081871345116,0.009279355095715203,0.05594945729720685,0.736842105263158,0.9310996388085894,0.3332283853730702
acquisition_context,raw,0.0,0.0,0.0,0.6970760233918128,0.9218202837128742,0.27727892807586335
echem_regime,source_centered,-0.0444444444444444,-0.005596625701609348,-0.06236582233171625,0.6526315789473685,0.9162236580112648,0.2149131057441471
video_plus_echem,raw,-0.10175438596491226,-0.05389073046333315,-0.14316478778991165,0.5953216374269006,0.867929553249541,0.1341141402859517
video_plus_echem,acq_resid,-0.10175438596491226,-0.046900387087723816,-0.14315400491683203,0.5953216374269006,0.8749198966251504,0.13412492315903132
echem_regime,acq_resid,-0.11461988304093562,-0.049603939558533705,-0.16125488950866676,0.5824561403508772,0.8722163441543405,0.11602403856719659
video_all,acq_resid,-0.12046783625730995,-0.06602541558981745,-0.1694939441650678,0.5766081871345029,0.8557948681230567,0.10778498391079554
video_all,source_centered,-0.17426900584795313,-0.06794347084046792,-0.24519026874364178,0.5228070175438597,0.8538768128724062,0.032088659332221575
video_all,raw,-0.20818713450292398,-0.10728820091928071,-0.2929118646736123,0.4888888888888889,0.8145320827935935,-0.015632936597748972
video_all,acq_resid_coral,-0.23508771929824557,-0.08033366298861133,-0.3307600269628993,0.4619883040935673,0.8414866207242628,-0.053481098887035956
video_plus_echem,acq_resid_source_centered,-0.25146198830409355,-0.07852158484674876,-0.3538195779555301,0.4456140350877193,0.8432986988661254,-0.07654064987966676
video_all,coral,-0.26900584795321647,-0.11712129006972993,-0.37848162289286985,0.4280701754385964,0.8046989936431442,-0.1012026948170065
echem_regime,acq_resid_source_centered,-0.27134502923976606,-0.08890273408764393,-0.38180218113734377,0.4257309941520468,0.8329175496252302,-0.10452325306148043
video_plus_echem,coral,-0.2771929824561404,-0.10987905340072612,-0.3900006288070007,0.41988304093567247,0.811941230312148,-0.11272170073113733
echem_regime,raw,-0.2865497076023392,-0.11349964889101005,-0.4032624728224323,0.41052631578947363,0.8083206348218641,-0.125983544746569
video_all,acq_resid_source_centered,-0.3309941520467836,-0.1275255393095478,-0.46569695338557465,0.36608187134502923,0.7942947444033264,-0.1884180253097113
echem_regime,acq_resid_coral,-0.36140350877192984,-0.14954781227499414,-0.5084818324952034,0.335672514619883,0.77227247143788,-0.23120290441934005
video_plus_echem,acq_resid_coral,-0.38596491228070173,-0.1532900769670602,-0.5430388502375958,0.3111111111111111,0.768530206745814,-0.2657599221617325
echem_regime,coral,-0.4865497076023392,-0.20485361656076728,-0.684872749314763,0.21052631578947367,0.7169666671521069,-0.40759382123889976
