feature,train_auc,orientation,strength,n_train_finite,target,heldout_source
concordance_matched_positive_support_count,1.0,1,0.5,118,near_vs_any_non_near,12_c2_x10_070723
observable_tail_contrast_delta,0.19148936170212766,-1,0.30851063829787234,118,near_vs_any_non_near,12_c2_x10_070723
abs_radial_flow_mean,0.7952127659574468,1,0.29521276595744683,118,near_vs_any_non_near,12_c2_x10_070723
abs_radial_flow_q90,0.7952127659574468,1,0.29521276595744683,118,near_vs_any_non_near,12_c2_x10_070723
abs_radial_flow_slope,0.22650709219858156,-1,0.27349290780141844,118,near_vs_any_non_near,12_c2_x10_070723
particle_flow_mag_slope,0.23359929078014185,-1,0.26640070921985815,118,near_vs_any_non_near,12_c2_x10_070723
curl_slope,0.2349290780141844,-1,0.2650709219858156,118,near_vs_any_non_near,12_c2_x10_070723
curl_q90,0.7566489361702128,1,0.2566489361702128,118,near_vs_any_non_near,12_c2_x10_070723
boundary_flow_mag_slope,0.24556737588652483,-1,0.25443262411347517,118,near_vs_any_non_near,12_c2_x10_070723
tangential_flow_slope,0.24778368794326242,-1,0.25221631205673756,118,near_vs_any_non_near,12_c2_x10_070723
curl_mean,0.75,1,0.25,118,near_vs_any_non_near,12_c2_x10_070723
particle_flow_mag_mean,0.7420212765957447,1,0.24202127659574468,118,near_vs_any_non_near,12_c2_x10_070723
concordance_matched_positive_support_count,1.0,1,0.5,118,near_vs_any_non_near,17_c2_x10_HighHighCOV_150723
boundary_particle_flow_ratio,0.30319148936170215,-1,0.19680851063829785,118,near_vs_any_non_near,17_c2_x10_HighHighCOV_150723
observable_tail_contrast_delta,0.3151595744680851,-1,0.18484042553191488,118,near_vs_any_non_near,17_c2_x10_HighHighCOV_150723
abs_radial_flow_q90,0.6826241134751773,1,0.18262411347517726,118,near_vs_any_non_near,17_c2_x10_HighHighCOV_150723
radial_flow_mean,0.3195921985815603,-1,0.1804078014184397,118,near_vs_any_non_near,17_c2_x10_HighHighCOV_150723
abs_radial_flow_mean,0.6790780141843972,1,0.17907801418439717,118,near_vs_any_non_near,17_c2_x10_HighHighCOV_150723
observable_tail_particle_minus_background_delta,0.32934397163120566,-1,0.17065602836879434,118,near_vs_any_non_near,17_c2_x10_HighHighCOV_150723
abs_radial_flow_median,0.6657801418439716,1,0.1657801418439716,118,near_vs_any_non_near,17_c2_x10_HighHighCOV_150723
radial_flow_median,0.34884751773049644,-1,0.15115248226950356,118,near_vs_any_non_near,17_c2_x10_HighHighCOV_150723
n_passed_component_gates,0.6454545454545455,1,0.1454545454545455,16,near_vs_any_non_near,17_c2_x10_HighHighCOV_150723
radial_transport_bias,0.36480496453900707,-1,0.13519503546099293,118,near_vs_any_non_near,17_c2_x10_HighHighCOV_150723
