target,score,k,n_rows,near_pre_fraction,n_sources,max_source_fraction,dominant_source
near_vs_any_non_near,transfer_oriented_feature_score,5,5,1.0,3,0.4,12_c2_x10_070723
near_vs_any_non_near,transfer_oriented_feature_score,10,10,1.0,4,0.5,9_c2_x10_010723
near_vs_any_non_near,transfer_oriented_feature_score,20,20,0.95,4,0.4,17_c2_x10_HighHighCOV_150723
near_vs_any_non_near,transfer_oriented_feature_score,40,40,0.725,5,0.25,17_c2_x10_HighHighCOV_150723
near_vs_any_non_near,fixed_transport_mechanism_score,5,5,1.0,2,0.8,17_c2_x10_HighHighCOV_150723
near_vs_any_non_near,fixed_transport_mechanism_score,10,10,1.0,4,0.5,17_c2_x10_HighHighCOV_150723
near_vs_any_non_near,fixed_transport_mechanism_score,20,20,1.0,5,0.35,17_c2_x10_HighHighCOV_150723
near_vs_any_non_near,fixed_transport_mechanism_score,40,40,0.7,5,0.25,9_c2_x10_010723
near_vs_any_non_near,fixed_qc_review_score,5,5,0.8,3,0.6,9_c2_x10_010723
near_vs_any_non_near,fixed_qc_review_score,10,10,0.9,4,0.4,9_c2_x10_010723
near_vs_any_non_near,fixed_qc_review_score,20,20,0.95,5,0.4,17_c2_x10_HighHighCOV_150723
near_vs_any_non_near,fixed_qc_review_score,40,40,0.7,5,0.25,17_c2_x10_HighHighCOV_150723
