target,feature_family,method,comparison,delta_roc_auc,delta_average_precision,delta_spearman_rho,comparison_metric,base_metric
future_any_drop_within_16cycles,norm_heterogeneity,source_mean_resid_4,norm_heterogeneity_source_mean_resid_4_minus_same_raw,0.4327485380116959,0.24353465384570505,0.6088617411754862,0.7380116959064327,0.3052631578947368
future_any_drop_within_16cycles,particle_gradient,source_confound_filter_0.50,particle_gradient_source_confound_filter_0.50_minus_same_raw,0.40701754385964917,0.163965660197137,0.5726591511596466,0.5567251461988304,0.14970760233918126
future_any_drop_within_16cycles,norm_heterogeneity,source_mean_resid_2,norm_heterogeneity_source_mean_resid_2_minus_same_raw,0.3286549707602341,0.16910903015059298,0.4624058088386801,0.6339181286549709,0.3052631578947368
future_any_drop_within_16cycles,particle_vs_context,source_mean_resid_4,particle_vs_context_source_mean_resid_4_minus_same_raw,0.288888888888889,0.15794387371404894,0.4064563515414732,0.7029239766081872,0.4140350877192982
future_any_drop_within_16cycles,all_video,source_confound_filter_0.50,all_video_source_confound_filter_0.50_minus_same_raw,0.28070175438596484,0.10414402008247481,0.39493734562734245,0.7695906432748537,0.4888888888888889
future_any_drop_within_16cycles,norm_heterogeneity,source_mean_resid_4,norm_heterogeneity_source_mean_resid_4_minus_all_video_raw,0.2491228070175438,0.10273036566549598,0.3505068942442664,0.7380116959064327,0.4888888888888889
future_any_drop_within_16cycles,all_video,source_mean_resid_2,all_video_source_mean_resid_2_minus_same_raw,0.23976608187134502,0.10686531314978742,0.3373423160566883,0.7286549707602339,0.4888888888888889
future_any_drop_within_16cycles,particle_vs_context,source_mean_resid_2,particle_vs_context_source_mean_resid_2_minus_same_raw,0.23859649122807025,0.14685516928665154,0.3356967437832411,0.6526315789473685,0.4140350877192982
future_any_drop_within_16cycles,particle_gradient,source_mean_resid_4,particle_gradient_source_mean_resid_4_minus_same_raw,0.23508771929824565,0.15288266082795965,0.3307600269628994,0.3847953216374269,0.14970760233918126
future_any_drop_within_16cycles,particle_vs_context,source_mean_resid_4,particle_vs_context_source_mean_resid_4_minus_all_video_raw,0.2140350877192983,0.08829851383772092,0.30113972604084854,0.7029239766081872,0.4888888888888889
future_any_drop_within_16cycles,handcrafted_particle,source_mean_resid_4,handcrafted_particle_source_mean_resid_4_minus_same_raw,0.18245614035087715,0.09532173836709323,0.2567092746577726,0.5461988304093567,0.36374269005847953
future_any_drop_within_16cycles,particle_gradient,source_mean_resid_2,particle_gradient_source_mean_resid_2_minus_same_raw,0.18128654970760236,0.1043288142734885,0.2550637023843254,0.3309941520467836,0.14970760233918126
