n_permutation,empirical_p_ge_observed,null_auc_mean,null_auc_p95,target,feature_family,method,observed_roc_auc
500,0.9500998003992016,0.5060233918128655,0.6550877192982456,future_any_drop_within_16cycles,particle_intensity,raw,0.35438596491228075
500,0.6666666666666666,0.4991368421052632,0.6409356725146199,future_any_drop_within_16cycles,particle_intensity,source_mean_resid_2,0.46549707602339185
500,0.8283433133732535,0.4994081871345029,0.6480116959064327,future_any_drop_within_16cycles,particle_intensity,source_mean_resid_4,0.42573099415204674
500,0.7325349301397206,0.5078479532163742,0.6503508771929823,future_any_drop_within_16cycles,particle_intensity,source_confound_filter_0.50,0.45730994152046783
500,0.8622754491017964,0.5037894736842106,0.6329239766081869,future_any_drop_within_16cycles,particle_vs_context,raw,0.4140350877192982
500,0.031936127744510975,0.49773333333333336,0.6351461988304093,future_any_drop_within_16cycles,particle_vs_context,source_mean_resid_2,0.6526315789473685
500,0.00998003992015968,0.4948444444444444,0.6350877192982456,future_any_drop_within_16cycles,particle_vs_context,source_mean_resid_4,0.7029239766081872
500,0.28542914171656686,0.49796257309941516,0.6316959064327484,future_any_drop_within_16cycles,particle_vs_context,source_confound_filter_0.50,0.5485380116959064
500,1.0,0.497646783625731,0.6374853801169589,future_any_drop_within_16cycles,particle_gradient,raw,0.14970760233918126
500,0.9900199600798403,0.49744327485380113,0.6327485380116958,future_any_drop_within_16cycles,particle_gradient,source_mean_resid_2,0.3309941520467836
500,0.9181636726546906,0.4981216374269005,0.6270760233918127,future_any_drop_within_16cycles,particle_gradient,source_mean_resid_4,0.3847953216374269
500,0.2774451097804391,0.5011812865497076,0.643391812865497,future_any_drop_within_16cycles,particle_gradient,source_confound_filter_0.50,0.5567251461988304
500,0.9880239520958084,0.49420818713450293,0.6292397660818713,future_any_drop_within_16cycles,norm_heterogeneity,raw,0.3052631578947368
500,0.05788423153692615,0.4979228070175438,0.6385964912280702,future_any_drop_within_16cycles,norm_heterogeneity,source_mean_resid_2,0.6339181286549709
500,0.001996007984031936,0.506961403508772,0.6387134502923976,future_any_drop_within_16cycles,norm_heterogeneity,source_mean_resid_4,0.7380116959064327
500,0.9880239520958084,0.4957684210526315,0.6304093567251462,future_any_drop_within_16cycles,norm_heterogeneity,source_confound_filter_0.50,0.3064327485380117
500,0.6786427145708582,0.505012865497076,0.6350877192982456,future_any_drop_within_16cycles,video_embedding,raw,0.4619883040935673
500,0.7405189620758483,0.5002760233918129,0.6305847953216372,future_any_drop_within_16cycles,video_embedding,source_mean_resid_2,0.4444444444444445
500,0.6946107784431138,0.4944631578947368,0.6258479532163742,future_any_drop_within_16cycles,video_embedding,source_mean_resid_4,0.4514619883040935
500,0.9301397205588823,0.5012046783625731,0.6435087719298244,future_any_drop_within_16cycles,video_embedding,source_confound_filter_0.50,0.3672514619883041
500,0.9600798403193613,0.5044865497076023,0.6468421052631578,future_any_drop_within_16cycles,handcrafted_particle,raw,0.36374269005847953
500,0.7085828343313373,0.5055953216374269,0.6563157894736841,future_any_drop_within_16cycles,handcrafted_particle,source_mean_resid_2,0.45146198830409356
500,0.2894211576846307,0.5016023391812865,0.6502923976608187,future_any_drop_within_16cycles,handcrafted_particle,source_mean_resid_4,0.5461988304093567
500,0.7025948103792415,0.5068070175438596,0.6435087719298244,future_any_drop_within_16cycles,handcrafted_particle,source_confound_filter_0.50,0.4596491228070176
500,0.5728542914171657,0.5039415204678362,0.6538596491228068,future_any_drop_within_16cycles,all_video,raw,0.4888888888888889
500,0.005988023952095809,0.5063087719298246,0.6409941520467836,future_any_drop_within_16cycles,all_video,source_mean_resid_2,0.7286549707602339
500,0.18163672654690619,0.49665730994152046,0.637485380116959,future_any_drop_within_16cycles,all_video,source_mean_resid_4,0.5789473684210527
500,0.001996007984031936,0.5033333333333334,0.6294152046783623,future_any_drop_within_16cycles,all_video,source_confound_filter_0.50,0.7695906432748537
