source_stem,n_rows,n_cycles,future16_labeled,future16_positive_fraction,mean_abs_video_echem_z_shift
17_c2_x10_HighHighCOV_150723,66,10,30,1.0,0.5889811261781625
16_c2_x10_HighHighCOV_130723,9,3,9,0.6666666666666666,0.5979678637547502
9_c2_x10_010723,9,3,9,1.0,0.3759840410064674
5_c2_x10_260623,10,2,6,0.5,0.5090511125937817
12_c2_x10_070723,6,2,6,1.0,0.34438336098944716
18_c2_xN_HighHighCOV_170723,21,3,3,0.0,0.4485675581495758
11_c2_x10_050723,3,1,3,1.0,0.4637354842099641
14_c2_x10_HighCOV_110723,3,1,3,0.0,0.5614710509190861
15_c2_x5_HighCOV_120723,3,1,3,0.0,0.5220903537834941
10_c2_x10_030723,14,3,0,,0.47863901023305094
13_c2_x6_100723,14,2,0,,0.4906557940793585
7_c2_x10_290623,14,3,0,,0.43543158674379184
