feature_set,method,target,n_eval,n_sources,n_cycles,n_positive,roc_auc,average_precision,spearman_rho,spearman_p,mean_features_after,mean_removed_components,empirical_p_ge_observed,null_auc_mean,null_auc_p95,n_permutation
acquisition_context,raw,future_any_drop_within_8cycles,72,9,24,36,1.0,1.0,0.8661089445557502,9.065255423029341e-23,28.0,0.0,,,,
acquisition_context,source_mean_resid_1,future_any_drop_within_8cycles,72,9,24,36,1.0,1.0,0.8661089445557502,9.065255423029341e-23,28.0,1.0,,,,
acquisition_context,source_mean_resid_2,future_any_drop_within_8cycles,72,9,24,36,0.9174382716049382,0.9429960892941572,0.7230940416738593,7.340833171849909e-13,28.0,2.0,,,,
acquisition_context,source_mean_resid_4,future_any_drop_within_8cycles,72,9,24,36,0.7353395061728395,0.7577435767047793,0.40765930260725897,0.00037899981367735155,28.0,4.0,,,,
acquisition_context,source_mean_resid_8,future_any_drop_within_8cycles,72,9,24,36,0.6836419753086419,0.6795238833924495,0.31810791482140205,0.006466859611187218,28.0,8.0,,,,
acquisition_context,source_confound_filter_0.10,future_any_drop_within_8cycles,72,9,24,36,1.0,1.0,0.8661089445557502,9.065255423029341e-23,26.0,0.0,,,,
acquisition_context,source_confound_filter_0.25,future_any_drop_within_8cycles,72,9,24,36,0.35648148148148157,0.5075608974958263,-0.24860534519655791,0.03522614550756123,21.0,0.0,,,,
acquisition_context,source_confound_filter_0.50,future_any_drop_within_8cycles,72,9,24,36,0.4220679012345679,0.5154372039724686,-0.13499537561748576,0.258218955026079,14.0,0.0,,,,
echem_regime,raw,future_any_drop_within_8cycles,72,9,24,36,0.6944444444444444,0.6854927351057382,0.33708038864015377,0.0037865612080088657,55.0,0.0,,,,
echem_regime,source_mean_resid_1,future_any_drop_within_8cycles,72,9,24,36,0.625,0.6282375304434128,0.2166945355543846,0.06750095637432914,55.0,1.0,,,,
echem_regime,source_mean_resid_2,future_any_drop_within_8cycles,72,9,24,36,0.4305555555555555,0.5064983584526928,-0.1203858530857692,0.3137910106589049,55.0,2.0,,,,
echem_regime,source_mean_resid_4,future_any_drop_within_8cycles,72,9,24,36,0.701388888888889,0.6717069752286471,0.34911897394873065,0.0026495846220306245,55.0,4.0,,,,
echem_regime,source_mean_resid_8,future_any_drop_within_8cycles,72,9,24,36,0.5277777777777778,0.5348132940044705,0.04815434123430768,0.6879157539157881,55.0,8.0,,,,
echem_regime,source_confound_filter_0.10,future_any_drop_within_8cycles,72,9,24,36,0.6874999999999999,0.6830804544039838,0.32504180333157684,0.005338267733520037,50.0,0.0,,,,
echem_regime,source_confound_filter_0.25,future_any_drop_within_8cycles,72,9,24,36,0.6388888888888888,0.6231490602620633,0.2418254167033372,0.040704532273495804,42.0,0.0,,,,
echem_regime,source_confound_filter_0.50,future_any_drop_within_8cycles,72,9,24,36,0.6388888888888888,0.6664261664261664,0.2418254167033372,0.040704532273495804,28.0,0.0,,,,
video_all,raw,future_any_drop_within_8cycles,72,9,24,36,0.7114197530864197,0.7906798147298508,0.3662250784078326,0.001557086257273233,64.0,0.0,,,,
video_all,source_mean_resid_1,future_any_drop_within_8cycles,72,9,24,36,0.779320987654321,0.8374972448784632,0.48384481161910736,1.6638695262123395e-05,64.0,1.0,,,,
video_all,source_mean_resid_2,future_any_drop_within_8cycles,72,9,24,36,0.8464506172839505,0.8838746644549071,0.6001279569529812,2.5241062045816784e-08,64.0,2.0,,,,
video_all,source_mean_resid_4,future_any_drop_within_8cycles,72,9,24,36,0.7561728395061729,0.8101067091036597,0.44374717529708185,9.45223718357302e-05,64.0,4.0,,,,
video_all,source_mean_resid_8,future_any_drop_within_8cycles,72,9,24,36,0.6905864197530864,0.7225491602690748,0.3301372057180097,0.004623595894338966,64.0,8.0,,,,
video_all,source_confound_filter_0.10,future_any_drop_within_8cycles,72,9,24,36,0.6766975308641975,0.7573581157039071,0.3060786239247944,0.008928300735804591,58.0,0.0,,,,
video_all,source_confound_filter_0.25,future_any_drop_within_8cycles,72,9,24,36,0.587962962962963,0.6333707622798828,0.15237101802369676,0.20133444048700647,48.0,0.0,,,,
video_all,source_confound_filter_0.50,future_any_drop_within_8cycles,72,9,24,36,0.8024691358024693,0.8552647209512872,0.5239424479411328,2.3217501579087294e-06,32.0,0.0,,,,
video_plus_echem,raw,future_any_drop_within_8cycles,72,9,24,36,0.7445987654320988,0.8115381197458296,0.4236983571360691,0.0002084120519884336,119.0,0.0,,,,
video_plus_echem,source_mean_resid_1,future_any_drop_within_8cycles,72,9,24,36,0.7839506172839505,0.8319852340543643,0.49186433888351244,1.1444124442478982e-05,119.0,1.0,,,,
video_plus_echem,source_mean_resid_2,future_any_drop_within_8cycles,72,9,24,36,0.7692901234567902,0.8293133448025293,0.4664691692128963,3.6276015959980316e-05,119.0,2.0,,,,
video_plus_echem,source_mean_resid_4,future_any_drop_within_8cycles,72,9,24,36,0.7067901234567902,0.7681077413767954,0.35820555114342756,0.0020049828757123054,119.0,4.0,,,,
video_plus_echem,source_mean_resid_8,future_any_drop_within_8cycles,72,9,24,36,0.4722222222222222,0.4664353567076853,-0.04811716358643056,0.6881442962682557,119.0,8.0,,,,
video_plus_echem,source_confound_filter_0.10,future_any_drop_within_8cycles,72,9,24,36,0.7175925925925926,0.7584819744989192,0.3769177814270394,0.0011002991300626801,108.0,0.0,,,,
video_plus_echem,source_confound_filter_0.25,future_any_drop_within_8cycles,72,9,24,36,0.7237654320987654,0.7634301663743339,0.38761048444624613,0.0007683201334295356,90.0,0.0,,,,
video_plus_echem,source_confound_filter_0.50,future_any_drop_within_8cycles,72,9,24,36,0.7291666666666667,0.7768586017917853,0.39696659958805214,0.0005555356918098427,60.0,0.0,,,,
acquisition_context,raw,future_any_drop_within_16cycles,72,9,24,57,0.7450292397660818,0.9371280212097773,0.34474739128720105,0.0030212192761997726,28.0,0.0,0.001996007984031936,0.49371461988304094,0.6339766081871344,500.0
acquisition_context,source_mean_resid_1,future_any_drop_within_16cycles,72,9,24,57,0.7426900584795322,0.9366273246933351,0.3414562467403065,0.003330990330318413,28.0,1.0,0.001996007984031936,0.4933450292397661,0.6305847953216372,500.0
acquisition_context,source_mean_resid_2,future_any_drop_within_16cycles,72,9,24,57,0.43274853801169594,0.7876354043866605,-0.09462040572321746,0.4291743701623483,28.0,2.0,0.780439121756487,0.49880935672514626,0.6411111111111109,500.0
acquisition_context,source_mean_resid_4,future_any_drop_within_16cycles,72,9,24,57,0.6514619883040935,0.8574832623438416,0.2131016094114202,0.0722901575332711,28.0,4.0,0.041916167664670656,0.5046970760233918,0.639766081871345,500.0
acquisition_context,source_mean_resid_8,future_any_drop_within_16cycles,72,9,24,57,0.3953216374269006,0.7837299058192777,-0.14727871847352977,0.21698868341171548,28.0,8.0,0.8822355289421158,0.499719298245614,0.6505263157894735,500.0
acquisition_context,source_confound_filter_0.10,future_any_drop_within_16cycles,72,9,24,57,0.7871345029239767,0.9470552265973993,0.4039879931313024,0.0004327981210809788,26.0,0.0,0.001996007984031936,0.4925777777777778,0.6328070175438596,500.0
acquisition_context,source_confound_filter_0.25,future_any_drop_within_16cycles,72,9,24,57,0.4888888888888888,0.8372616123436752,-0.015632936597748972,0.8963004167927221,21.0,0.0,0.5409181636726547,0.497812865497076,0.6375438596491227,500.0
acquisition_context,source_confound_filter_0.50,future_any_drop_within_16cycles,72,9,24,57,0.4152046783625731,0.7899052276195027,-0.11930398982492636,0.3181914015395986,14.0,0.0,0.812375249500998,0.4951766081871345,0.6316374269005847,500.0
echem_regime,raw,future_any_drop_within_16cycles,72,9,24,57,0.5894736842105263,0.8354130896170981,0.125983544746569,0.2916517117986816,55.0,0.0,0.15568862275449102,0.4988070175438596,0.6350877192982456,500.0
echem_regime,source_mean_resid_1,future_any_drop_within_16cycles,72,9,24,57,0.4631578947368421,0.815325758769305,-0.05187557724858723,0.6651842775154219,55.0,1.0,0.6906187624750499,0.5026105263157895,0.6491228070175439,500.0
echem_regime,source_mean_resid_2,future_any_drop_within_16cycles,72,9,24,57,0.4421052631578948,0.8302579424402862,-0.08151876424777996,0.4960372938989561,55.0,2.0,0.7564870259481038,0.5012421052631579,0.6422807017543858,500.0
echem_regime,source_mean_resid_4,future_any_drop_within_16cycles,72,9,24,57,0.5368421052631578,0.8658626885713481,0.05187557724858723,0.6651842775154219,55.0,4.0,0.34930139720558884,0.4999929824561403,0.6421052631578947,500.0
echem_regime,source_mean_resid_8,future_any_drop_within_16cycles,72,9,24,57,0.6631578947368421,0.9096962220557696,0.22973469924374348,0.052222181461376596,55.0,8.0,0.03592814371257485,0.5012561403508772,0.6491228070175439,500.0
echem_regime,source_confound_filter_0.10,future_any_drop_within_16cycles,72,9,24,57,0.5684210526315789,0.8108516861083261,0.0963403577473763,0.4207948102443424,50.0,0.0,0.22954091816367264,0.4987859649122807,0.6317543859649122,500.0
echem_regime,source_confound_filter_0.25,future_any_drop_within_16cycles,72,9,24,57,0.5473684210526315,0.7848160258621395,0.06698906348083082,0.5760924539679435,42.0,0.0,0.3153692614770459,0.5001543859649124,0.6350877192982456,500.0
echem_regime,source_confound_filter_0.50,future_any_drop_within_16cycles,72,9,24,57,0.4631578947368421,0.7691069406077624,-0.05210260492953508,0.6638069023044342,28.0,0.0,0.6866267465069861,0.5021333333333333,0.6387719298245613,500.0
video_all,raw,future_any_drop_within_16cycles,72,9,24,57,0.4888888888888889,0.8145320827935935,-0.015632936597748972,0.8963004167927221,64.0,0.0,0.564870259481038,0.4991602339181287,0.6411111111111109,500.0
video_all,source_mean_resid_1,future_any_drop_within_16cycles,72,9,24,57,0.583625730994152,0.8549380338902712,0.11765841755147913,0.32496008059702436,64.0,1.0,0.16367265469061876,0.4975625730994152,0.6374853801169589,500.0
video_all,source_mean_resid_2,future_any_drop_within_16cycles,72,9,24,57,0.7286549707602339,0.9213973959433809,0.32170937945893935,0.0058568852924379775,64.0,2.0,0.003992015968063872,0.4934807017543859,0.629298245614035,500.0
