cycleNo,source_stem,local_cycle_index,coverage_gap_priority,has_any_roi_video_sequence,has_primary_roi_sequence,any_abrupt_drop,future_any_drop_within_8cycles,future_any_drop_within_16cycles,cycles_to_next_drop_within_16,n_roi_total_across_tracked_cohorts,capacity_fraction_of_first,cross_modal_consensus_score,hazard_probability_mean,echem_outlier_score,consensus_class,transfer_max_transfer_oriented_feature_score,transfer_mean_transfer_oriented_feature_score,transfer_max_fixed_transport_mechanism_score,transfer_mean_fixed_transport_mechanism_score,transfer_max_fixed_qc_review_score,transfer_mean_fixed_qc_review_score,transfer_n_roi_rows,mechanism_max_transport_mechanism_score,mechanism_mean_transport_mechanism_score,mechanism_max_front_kinetic_score,mechanism_mean_front_kinetic_score,mechanism_max_qc_review_score,mechanism_mean_qc_review_score,mechanism_max_visual_sanity_score,mechanism_mean_visual_sanity_score,mechanism_n_roi_rows,manual_qc_max_manual_qc_decision_score,manual_qc_mean_manual_qc_decision_score,manual_qc_max_strict_qc_priority_score,manual_qc_mean_strict_qc_priority_score,manual_qc_max_front_evidence_score,manual_qc_mean_front_evidence_score,manual_qc_max_kinetic_evidence_score,manual_qc_mean_kinetic_evidence_score,manual_qc_n_roi_rows,diffusion_max_review_priority,diffusion_mean_review_priority,diffusion_max_gate_count,diffusion_mean_gate_count,diffusion_max_median_radius2_fit_r2,diffusion_mean_median_radius2_fit_r2,diffusion_n_roi_rows,cycle_action_priority,roi_count_penalty_bonus,recommended_cycle_action
78,9_c2_x10_010723,3.0,4.85420904550772,True,True,0,1,1,8.0,14,0.949186607182162,0.587031555537657,0.7774683610451757,0.4296296296296296,low_consensus,0.647842910835133,0.6011904100995409,0.6927338061286408,0.6635245373179612,0.841796875,0.6248046875,2.0,0.6927338061286408,0.6635245373179612,0.8954641990291261,0.6813637742718446,0.841796875,0.6248046875,0.7990266934171384,0.7990266934171384,2.0,1.0614486870946769,0.694738791706198,0.5560939688124191,0.5560939688124191,0.670713603821723,0.37210366047858945,1.360044346400645,0.4309693382065256,2.0,56.47261063486813,22.033006651621463,6.0,5.0,0.4148131409143081,0.1931913157319739,3.0,16.454056056862093,0.0,manual_qc_existing_visual_assets
152,17_c2_x10_HighHighCOV_150723,6.0,4.64249832005639,True,True,0,1,1,4.0,22,,0.5746173679528156,0.7197942390798813,,low_consensus,0.762472434086466,0.7132904886598963,0.8915449914037217,0.8709313056229774,0.7591145833333333,0.7383463541666666,2.0,0.8915449914037217,0.8709313056229774,0.8769872572815534,0.8147148058252427,0.7591145833333333,0.7383463541666666,0.559695833755315,0.5562474138578897,2.0,1.061880590110068,1.0332131637557578,0.5255668900691663,0.4370749686271832,1.3569572436511033,0.841080793718841,2.2958812458716764,1.5375298133125899,2.0,,,,,,,,15.116965744034182,0.0,manual_qc_existing_visual_assets
154,17_c2_x10_HighHighCOV_150723,8.0,4.6546040950155145,True,True,0,1,1,2.0,18,,0.5447656460704666,0.8005544413930782,,low_consensus,0.8681620938569207,0.7887233312158984,0.8788794498381878,0.8470074522148059,0.7665364583333334,0.7267578125,2.0,0.8788794498381878,0.8470074522148059,0.8239532766990292,0.7654126213592233,0.7665364583333334,0.7267578125,0.6216877292681964,0.5898286034799946,2.0,1.0537916190574754,0.8907269250465701,0.3661664695501787,0.3462612930907363,2.095693928495519,1.8403024037075117,2.029600363061511,0.7634508661311138,2.0,,,,,,,,15.00219392071171,0.0,manual_qc_existing_visual_assets
82,9_c2_x10_010723,7.0,4.853058293882882,True,True,0,1,1,4.0,8,0.9498556829293208,0.5043613332622032,0.8934046700041016,0.5037037037037037,low_consensus,0.8306222831668767,0.8228326403037856,0.7006661483616504,0.6985569629854369,0.7609374999999999,0.6144531249999999,2.0,0.7006661483616504,0.6985569629854369,0.720555218446602,0.6723528519417477,0.7609374999999999,0.6144531249999999,0.6976462087112713,0.6976462087112713,2.0,0.7466092102900065,0.6006416412339471,0.4881589795503019,0.4881589795503019,0.5770726686070854,0.00021591614328009268,1.027205530383312,0.6876991805589765,2.0,,,,,,,,14.431295483749023,1.0,manual_qc_existing_visual_assets
80,9_c2_x10_010723,5.0,4.942282362201651,True,True,0,1,1,6.0,8,0.9492506945317226,0.5744350932069912,0.941089475106074,0.4049382716049383,low_consensus,0.7672544926635095,0.6022119115957074,0.7212847011529125,0.6144569490796925,0.9479166666666666,0.7011067708333333,2.0,0.7212847011529125,0.7212847011529125,0.4938106796116505,0.4938106796116505,0.454296875,0.454296875,,,1.0,1.1810114699883396,0.8021555030026333,0.6003771693199745,0.6003771693199745,1.6040821979911222,1.5087759648058459,0.6722860974992517,-0.4716416872042739,2.0,,,,,,,,14.366221125409039,1.0,manual_qc_existing_visual_assets
151,17_c2_x10_HighHighCOV_150723,5.0,4.7577375806928295,True,True,0,1,1,5.0,22,,0.6252469725648413,0.7608619409545072,,multimodal_outlier_without_trace_drop,0.7348406419693156,0.7025942063736634,0.7853588314118123,0.7040254285497572,0.6826822916666667,0.6595703125000001,2.0,0.7853588314118123,0.7040254285497572,0.9134405339805826,0.7825470266990291,0.6826822916666667,0.6595703125000001,0.5298959268149198,0.5256415207372702,2.0,1.083118865159323,0.9520315416912604,0.487628199862207,0.4098773810384678,1.7405420293636154,0.7336580954894782,2.641255526392289,1.804194782228599,2.0,4.293469057647345,4.293469057647345,4.0,4.0,0.0650835014650753,0.0650835014650753,1.0,14.259189204581613,0.0,manual_qc_existing_visual_assets
84,9_c2_x10_010723,9.0,4.585970264795487,True,True,0,1,1,2.0,14,0.9473647054415644,0.4625628185930831,0.731538128721427,0.3876543209876543,low_consensus,0.8548579613272856,0.837787366691279,0.8000324256674758,0.7237537924757282,0.70546875,0.6541015625,2.0,0.8000324256674758,0.7237537924757282,0.7628640776699029,0.5867339199029127,0.70546875,0.6541015625,0.6472151507833829,0.6224877896043428,2.0,0.6460168847984362,0.5479708721206759,0.456834758817618,0.3768130072912339,0.3288148122051146,0.0870234169048662,0.735100046723151,0.2958960540837098,2.0,5.360221411891243,4.651233452847254,5.0,4.333333333333333,0.0289617617176461,0.016280544876602,3.0,13.856784131215178,0.0,manual_qc_existing_visual_assets
150,17_c2_x10_HighHighCOV_150723,4.0,5.066660465803762,True,True,0,1,1,6.0,22,0.6072841340065684,0.6463997608683184,0.653134344657451,0.7555555555555556,multimodal_outlier_without_trace_drop,0.6779669828172914,0.6662306530491358,0.6685977953074433,0.622767685578479,0.6225260416666667,0.6208333333333333,2.0,0.6685977953074433,0.622767685578479,0.8055370145631069,0.7540655339805826,0.6225260416666667,0.6208333333333333,0.5191270783470247,0.5012545405150071,2.0,0.8388573010089998,0.8241323526234148,0.4665664119999264,0.3975166280775917,0.2035643199813853,0.027613016031568252,2.550923296014512,1.9148495429344483,2.0,,,,,,,,12.40962201382009,0.0,manual_qc_existing_visual_assets
110,12_c2_x10_070723,5.0,4.946227341980214,True,True,0,1,1,6.0,14,0.9468630347525104,0.611098871807764,0.9516404439941396,0.3037037037037037,low_consensus,0.5186312538550417,0.47253147017175023,0.7138599185881878,0.6161584749190938,0.6641927083333333,0.4881510416666667,2.0,0.7138599185881878,0.7138599185881878,0.5553094660194174,0.5553094660194174,0.6641927083333333,0.6641927083333333,0.590322939806,0.590322939806,1.0,0.5158676243708546,0.3609159741944725,0.3195270511440025,0.3195270511440025,-0.0591368291805943,-0.0591368291805943,0.2703115798302697,0.27022215964799234,2.0,5.348098113790846,4.639664334558417,5.0,4.333333333333333,0.1282781257847571,0.08204330386716928,3.0,11.610627556801589,0.0,manual_qc_existing_visual_assets
108,12_c2_x10_070723,3.0,4.787796779734522,True,True,0,1,1,8.0,14,0.942879244635122,0.4589576496713745,0.9168893589704746,0.491358024691358,low_consensus,0.8811561215891025,0.8804263784760531,0.7074342005461164,0.7049182721480582,0.4953125,0.41191406249999996,2.0,0.7074342005461164,0.7049182721480582,0.5578125,0.546313713592233,0.4953125,0.41191406249999996,,,2.0,0.5436287418823231,0.38981025141001285,,,-0.7114624278182567,-0.7114624278182567,0.8528131072758294,0.7451033228269919,2.0,5.407650608408734,4.845658433820198,5.0,4.5,0.2012151084775747,0.10661813577467551,2.0,11.4304439598841,0.0,manual_qc_existing_visual_assets
