source_stem,n_cycles,max_cycle_action_priority,mean_cycle_action_priority,n_uncovered_cycles,n_low_roi_cycles,n_future8_positive,n_future16_positive,total_roi_rows,n_cycle_rows,min_cycle,max_cycle,min_local_cycle,max_local_cycle,n_any_drop_cycles,n_future8_positive_coverage_atlas,n_future16_positive_coverage_atlas,n_cycles_with_any_roi,n_cycles_with_primary_roi,total_roi_rows_coverage_atlas,median_capacity_fraction,max_consensus_score,max_hazard_probability,roi_cycle_coverage_fraction,primary_roi_cycle_coverage_fraction
9_c2_x10_010723,5,16.454056056862093,13.133676653232964,0,2,4,5,54,5,76,84,1.0,9.0,0,4,5,5,5,54,0.949186607182162,0.7100667532723229,0.941089475106074,1.0,1.0
17_c2_x10_HighHighCOV_150723,10,15.116965744034182,8.479513604191371,0,1,8,10,164,10,146,155,0.0,9.0,0,8,10,10,10,164,1.2783811435164876,0.6463997608683184,0.8005544413930782,1.0,1.0
12_c2_x10_070723,5,11.610627556801589,8.72443730118578,0,3,4,5,48,5,106,114,1.0,9.0,0,4,5,5,5,48,0.9468630347525104,0.653099512589666,0.9516404439941396,1.0,1.0
7_c2_x10_290623,5,10.381605933995969,5.7442344037229836,0,2,2,2,52,5,56,64,1.0,9.0,1,2,2,5,5,52,0.9638440515657726,0.6682945470398655,,1.0,1.0
6_c2_x10_270623_2,5,10.244605265767131,7.687561978158959,0,5,2,5,36,5,46,54,1.0,9.0,0,2,5,5,5,36,0.9670201658628756,0.4586556892268503,,1.0,1.0
16_c2_x10_HighHighCOV_130723,10,6.971551620452833,3.822388759176504,1,9,0,6,54,10,136,145,0.0,9.0,0,0,6,9,9,54,1.29573466116282,0.4420377349729772,0.5229779173899438,0.9,0.9
2_c2_x14_200623,7,6.5269080986346015,2.8814865009128545,0,7,0,0,36,7,2,14,1.0,13.0,0,0,0,7,7,36,0.9914533326651126,0.5779721633732245,,1.0,1.0
5_c2_x10_260623,5,5.973806073726085,3.962593671728702,0,3,0,1,52,5,36,44,1.0,9.0,0,0,1,5,5,52,0.9726725307298484,0.6072249755146135,,1.0,1.0
11_c2_x10_050723,5,5.488550293859484,4.392227122970494,0,4,0,3,38,5,96,104,1.0,9.0,0,0,3,5,5,38,0.9466646390988418,0.6214992033011846,0.8985716542053739,1.0,1.0
14_c2_x10_HighCOV_110723,8,5.178211139084799,3.3929300898718706,0,8,0,0,38,8,123,130,2.0,9.0,0,0,0,8,8,38,1.3131857468896233,0.7091560885205925,0.9989304526276724,1.0,1.0
8_c2_x10_300623,5,5.167650793596894,4.224641351963038,0,5,0,3,36,5,66,74,1.0,9.0,0,0,3,5,5,36,0.9575150062038144,0.6249321059714319,0.67273427862754,1.0,1.0
4_c2_x10_240623,5,4.316271513939585,3.3822563552138467,0,5,0,0,36,5,26,34,1.0,9.0,0,0,0,5,5,36,0.9819699147709476,0.5735788492498853,,1.0,1.0
15_c2_x5_HighCOV_120723,4,4.232516937762879,2.9727152548593248,0,4,0,0,26,4,131,134,0.0,3.0,0,0,0,4,4,26,1.3087368816136902,0.5386964414797567,0.9332616754781254,1.0,1.0
10_c2_x10_030723,5,2.6699828918914887,2.329330130975992,0,1,0,0,89,5,86,94,1.0,9.0,1,0,0,5,5,89,0.9454395016823436,0.8126999459104489,0.6219984479106454,1.0,1.0
13_c2_x6_100723,2,2.3119412777655324,1.6267723418628734,0,0,0,0,50,2,116,118,1.0,3.0,1,0,0,2,2,50,1.2459443233781182,0.7951514188778093,0.1490509235308146,1.0,1.0
18_c2_xN_HighHighCOV_170723,3,2.13720407743931,1.7962195405346877,0,1,0,0,42,3,156,158,0.0,2.0,1,0,0,3,3,42,,0.568138865483918,0.7325610284628066,1.0,1.0
