roi_id,cycleNo,source_stem,cohort_role,threshold_cohort,n_threshold_rows,threshold_min,threshold_max,median_D_um2_per_s,q70_D_um2_per_s,q80_D_um2_per_s,positive_D_fraction,median_abs_D_um2_per_s,threshold_D_iqr,median_radius2_slope_px2_per_s,q70_radius2_slope_px2_per_s,median_radius2_fit_r2,q70_radius2_fit_r2,max_positive_fit_r2,best_positive_threshold_quantile,best_positive_D_um2_per_s,median_phase_slope_per_s,phase_slope_positive_fraction,median_D_um2_per_s_all_percentile,median_D_um2_per_s_same_source_percentile,median_D_um2_per_s_same_cycle_percentile,q70_D_um2_per_s_all_percentile,q70_D_um2_per_s_same_source_percentile,q70_D_um2_per_s_same_cycle_percentile,median_radius2_fit_r2_all_percentile,median_radius2_fit_r2_same_source_percentile,median_radius2_fit_r2_same_cycle_percentile,q70_radius2_fit_r2_all_percentile,q70_radius2_fit_r2_same_source_percentile,q70_radius2_fit_r2_same_cycle_percentile,positive_D_fraction_all_percentile,positive_D_fraction_same_source_percentile,positive_D_fraction_same_cycle_percentile,median_phase_slope_per_s_all_percentile,median_phase_slope_per_s_same_source_percentile,median_phase_slope_per_s_same_cycle_percentile,cycleNo_readiness,source_stem_readiness,cohort_role_readiness,candidate_source,automatic_physics_consistent,publication_ready,gate_count,h5_dt_max_to_median_ratio,manual_qc_status,blockers,review_priority,cycleNo_physics,source_stem_physics,cohort_role_physics,q70_radius2_slope_bootstrap_p05_px2_per_s,q70_radius2_slope_bootstrap_p95_px2_per_s,gate_q70_positive_ci,gate_h5_timing_stable,diffusion_physics_gate_count,physics_consistency_score,cycleNo_queue,source_stem_queue,event_relative_bin,diagnostic_action,diagnostic_reason,targeted_remeasurement_score
cycle78_rank22_obj2,78.0,9_c2_x10_010723,future8_positive,balanced_future_threshold_robust_fronts,7,0.55,0.85,3.456512133062921e-06,3.456512133062921e-06,3.865020220570333e-06,1.0,3.456512133062921e-06,1.6318822015592308e-06,0.0015002222799752,0.0015002222799752,0.4148131409143081,0.4236646385622081,0.5129625110641265,0.85,9.255055412105836e-06,2.8188004309613634e-06,1.0,0.675,0.75,0.5,0.625,0.75,0.5,0.875,0.75,0.5,0.875,0.75,0.5,0.7,0.75,0.5,0.825,0.75,0.5,78.0,9_c2_x10_010723,future8_positive,diffusion_physics_consistency,True,False,6.0,1.1361501308587034,,q70 positive CI; publication-ready gate,56.47261063486813,78.0,9_c2_x10_010723,future8_positive,,,False,True,6.0,4.726106348681301,78.0,9_c2_x10_010723,,remeasure_q70_ci_and_manual_front_qc,nearest candidate; internal gates mostly pass but q70 CI/manual publication gate blocks,74.74853565699638
cycle60_rank2_obj2,60.0,7_c2_x10_290623,event,multi_cycle_threshold_robust_fronts,7,0.55,0.85,4.057906823151882e-06,4.057906823151882e-06,8.497437227747768e-06,1.0,4.057906823151882e-06,4.959237745563133e-06,0.0017612442808818,0.0017612442808818,0.465762670919851,0.465762670919851,0.7016126017801119,0.85,9.79086159485747e-06,1.951400872945822e-06,1.0,0.725,0.9,0.75,0.725,0.9,0.75,0.925,0.9,0.75,0.925,0.9,0.75,0.7,0.6,0.5,0.675,0.7,0.75,60.0,7_c2_x10_290623,event,control_balanced_selected_front,False,False,,,pending,selected fit quality; manual QC accepted; publication-ready gate,15.00025187983658,,,,,,,,,,60.0,7_c2_x10_290623,,guarded_review_only,use as optical-front proxy review row only,24.103477083396804
cycle62_rank1_obj4,62.0,7_c2_x10_290623,control,multi_cycle_threshold_robust_fronts,7,0.55,0.85,2.18166299218825e-06,2.18166299218825e-06,4.759217100217992e-06,1.0,2.18166299218825e-06,2.0021966158873536e-06,0.0009469023403594,0.0009469023403594,0.1321503522734332,0.1321503522734332,0.374983300887115,0.85,6.454589360812412e-06,1.5932327634192358e-06,1.0,0.575,0.5,0.5,0.525,0.5,0.5,0.625,0.7,0.5,0.625,0.7,0.5,0.7,0.6,0.5,0.575,0.5,0.5,62.0,7_c2_x10_290623,control,control_balanced_selected_front,False,False,,,pending,selected fit quality; manual QC accepted; publication-ready gate,15.002721388804652,,,,,,,,,,62.0,7_c2_x10_290623,,fit_quality_blocked_retrack_front,best positive radius2 fits remain weak; needs manual/retracked front boundary before diffusion wording,22.25268799057888
cycle156_rank2_obj2,156.0,18_c2_xN_HighHighCOV_170723,event,multi_cycle_threshold_robust_fronts,7,0.55,0.85,1.924586662072925e-06,1.924586662072925e-06,2.825801022627367e-06,1.0,1.924586662072925e-06,1.39917562781439e-06,0.0008353240720802,0.0008353240720802,0.0934053719239971,0.1072221258500542,0.1072221258500542,0.7,1.924586662072925e-06,3.2426969483629712e-06,1.0,0.525,0.9166666666666666,0.75,0.475,0.9166666666666666,0.75,0.525,0.9166666666666666,0.75,0.525,0.9166666666666666,0.75,0.7,0.75,0.5,0.925,0.9166666666666666,0.75,156.0,18_c2_xN_HighHighCOV_170723,event,control_balanced_selected_front,False,False,,,pending,selected nonnegative; selected fit quality; manual QC accepted; publication-ready gate,10.269253988848927,,,,,,,,,,156.0,18_c2_xN_HighHighCOV_170723,,fit_quality_blocked_retrack_front,best positive radius2 fits remain weak; needs manual/retracked front boundary before diffusion wording,18.233698240549035
cycle116_rank7_obj37,116.0,13_c2_x6_100723,event,multi_cycle_threshold_robust_fronts,7,0.55,0.85,4.588812077925554e-06,4.945665530777921e-06,6.442272341531512e-06,1.0,4.588812077925554e-06,1.4812915337048528e-06,0.0019916719088218,0.0021465562199556,0.109418768497372,0.1217668068233499,0.1307140179187186,0.65,4.3107214849762864e-06,4.3037461992517885e-06,1.0,0.775,0.75,0.5,0.775,0.75,0.5,0.575,0.75,0.5,0.575,0.75,0.5,0.7,0.75,0.5,0.975,0.75,0.5,116.0,13_c2_x6_100723,event,control_balanced_selected_front,False,False,,,pending,selected nonnegative; manual QC accepted; publication-ready gate,10.612143252222973,,,,,,,,,,116.0,13_c2_x6_100723,,fit_quality_blocked_retrack_front,best positive radius2 fits remain weak; needs manual/retracked front boundary before diffusion wording,18.123571288060408
cycle156_rank7_obj27,156.0,18_c2_xN_HighHighCOV_170723,event,multi_cycle_threshold_robust_fronts,7,0.55,0.85,1.3083161124387798e-06,1.138772978787448e-06,1.8139065840746224e-06,1.0,1.3083161124387798e-06,4.775854706401186e-07,0.0005678455349126,0.0004942591053764,0.0402945770256873,0.0319379661746297,0.0532542258376943,0.55,1.3083161124387798e-06,1.891584956018593e-06,1.0,0.475,0.75,0.25,0.325,0.4166666666666667,0.25,0.475,0.75,0.25,0.325,0.5833333333333334,0.25,0.7,0.75,0.5,0.625,0.75,0.25,156.0,18_c2_xN_HighHighCOV_170723,event,control_balanced_selected_front,False,False,,,pending,selected nonnegative; selected fit quality; manual QC accepted; publication-ready gate,10.193838458402317,,,,,,,,,,156.0,18_c2_xN_HighHighCOV_170723,,fit_quality_blocked_retrack_front,best positive radius2 fits remain weak; needs manual/retracked front boundary before diffusion wording,17.550346910077707
cycle58_rank4_obj2,58.0,7_c2_x10_290623,control,multi_cycle_threshold_robust_fronts,7,0.55,0.85,2.864937236969792e-06,3.532320969673908e-06,2.864937236969792e-06,1.0,2.864937236969792e-06,9.874803020924022e-07,0.0012434623424348,0.0015331254208654,0.0331874857277628,0.0463618936749117,0.0638815235850928,0.55,1.8385138345132436e-06,1.4356315587278615e-06,1.0,0.625,0.7,0.75,0.675,0.7,0.75,0.375,0.5,0.75,0.375,0.5,0.75,0.7,0.6,0.75,0.525,0.3,0.25,58.0,7_c2_x10_290623,control,control_balanced_selected_front,False,False,,,pending,selected nonnegative; selected fit quality; manual QC accepted; publication-ready gate,10.04649591053546,,,,,,,,,,58.0,7_c2_x10_290623,,fit_quality_blocked_retrack_front,best positive radius2 fits remain weak; needs manual/retracked front boundary before diffusion wording,17.274258957705644
cycle157_rank4_obj8,157.0,18_c2_xN_HighHighCOV_170723,control,multi_cycle_threshold_robust_fronts,7,0.55,0.85,1.2026280201615871e-06,1.4725518102318024e-06,5.902213145774226e-07,1.0,1.2026280201615871e-06,6.439047208620556e-07,0.000521973967084,0.0006391283898575,0.0372220781574748,0.065878890002745,0.065878890002745,0.7,1.4725518102318024e-06,-8.290821590338369e-07,0.0,0.375,0.5833333333333334,0.75,0.425,0.75,0.75,0.425,0.5833333333333334,0.75,0.425,0.75,0.75,0.7,0.75,0.75,0.175,0.08333333333333333,0.25,157.0,18_c2_xN_HighHighCOV_170723,control,control_balanced_selected_front,False,False,,,pending,selected nonnegative; selected fit quality; manual QC accepted; publication-ready gate,10.002781699168558,,,,,,,,,,157.0,18_c2_xN_HighHighCOV_170723,,fit_quality_blocked_retrack_front,best positive radius2 fits remain weak; needs manual/retracked front boundary before diffusion wording,16.884539479174048
cycle60_rank4_obj5,60.0,7_c2_x10_290623,event,multi_cycle_threshold_robust_fronts,7,0.55,0.85,1.2281125674270095e-06,1.0160291174348963e-06,1.427343186472094e-06,1.0,1.2281125674270095e-06,3.1051207650752944e-07,0.0005330349685013,0.0004409848599977,0.0095617823011535,0.005119466297234,0.037743037680392,0.55,1.2281125674270095e-06,9.666890543532338e-07,1.0,0.425,0.3,0.25,0.275,0.3,0.25,0.175,0.3,0.25,0.125,0.3,0.25,0.7,0.6,0.5,0.425,0.1,0.25,60.0,7_c2_x10_290623,event,control_balanced_selected_front,False,False,,,pending,selected fit quality; q70 bootstrap positive; manual QC accepted; publication-ready gate,10.02643327803736,,,,,,,,,,60.0,7_c2_x10_290623,,fit_quality_blocked_retrack_front,best positive radius2 fits remain weak; needs manual/retracked front boundary before diffusion wording,16.001919353398144
cycle118_rank1_obj7,118.0,13_c2_x6_100723,control,multi_cycle_threshold_robust_fronts,7,0.55,0.85,1.197560368428275e-06,2.2012864438556477e-06,1.711377493671154e-06,0.8571428571428571,1.197560368428275e-06,1.5328362034277301e-06,0.0005197744654636,0.000955419463479,0.0117187030772165,0.0697114454869479,0.0697114454869479,0.7,2.2012864438556477e-06,3.10732353202618e-06,1.0,0.325,0.25,0.5,0.575,0.25,0.5,0.225,0.25,0.5,0.475,0.25,0.5,0.35,0.25,0.5,0.875,0.25,0.5,118.0,13_c2_x6_100723,control,control_balanced_selected_front,False,False,,,pending,selected nonnegative; selected fit quality; manual QC accepted; publication-ready gate,10.33051646747948,,,,,,,,,,118.0,13_c2_x6_100723,,fit_quality_blocked_retrack_front,best positive radius2 fits remain weak; needs manual/retracked front boundary before diffusion wording,15.50565364416766
