roi_id,cycleNo,source_stem,cohort_role,diagnostic_action,targeted_remeasurement_score,median_D_um2_per_s,q70_D_um2_per_s,positive_D_fraction,q70_radius2_fit_r2,max_positive_fit_r2,best_positive_threshold_quantile,q70_radius2_slope_bootstrap_p05_px2_per_s,q70_radius2_slope_bootstrap_p95_px2_per_s,blockers,diagnostic_reason
cycle78_rank22_obj2,78.0,9_c2_x10_010723,future8_positive,remeasure_q70_ci_and_manual_front_qc,74.74853565699638,3.456512133062921e-06,3.456512133062921e-06,1.0,0.4236646385622081,0.5129625110641265,0.85,,,q70 positive CI; publication-ready gate,nearest candidate; internal gates mostly pass but q70 CI/manual publication gate blocks
cycle60_rank2_obj2,60.0,7_c2_x10_290623,event,guarded_review_only,24.103477083396804,4.057906823151882e-06,4.057906823151882e-06,1.0,0.465762670919851,0.7016126017801119,0.85,,,selected fit quality; manual QC accepted; publication-ready gate,use as optical-front proxy review row only
cycle62_rank1_obj4,62.0,7_c2_x10_290623,control,fit_quality_blocked_retrack_front,22.25268799057888,2.18166299218825e-06,2.18166299218825e-06,1.0,0.1321503522734332,0.374983300887115,0.85,,,selected fit quality; manual QC accepted; publication-ready gate,best positive radius2 fits remain weak; needs manual/retracked front boundary before diffusion wording
cycle156_rank2_obj2,156.0,18_c2_xN_HighHighCOV_170723,event,fit_quality_blocked_retrack_front,18.233698240549035,1.924586662072925e-06,1.924586662072925e-06,1.0,0.1072221258500542,0.1072221258500542,0.7,,,selected nonnegative; selected fit quality; manual QC accepted; publication-ready gate,best positive radius2 fits remain weak; needs manual/retracked front boundary before diffusion wording
cycle116_rank7_obj37,116.0,13_c2_x6_100723,event,fit_quality_blocked_retrack_front,18.123571288060408,4.588812077925554e-06,4.945665530777921e-06,1.0,0.1217668068233499,0.1307140179187186,0.65,,,selected nonnegative; manual QC accepted; publication-ready gate,best positive radius2 fits remain weak; needs manual/retracked front boundary before diffusion wording
cycle156_rank7_obj27,156.0,18_c2_xN_HighHighCOV_170723,event,fit_quality_blocked_retrack_front,17.550346910077707,1.3083161124387798e-06,1.138772978787448e-06,1.0,0.0319379661746297,0.0532542258376943,0.55,,,selected nonnegative; selected fit quality; manual QC accepted; publication-ready gate,best positive radius2 fits remain weak; needs manual/retracked front boundary before diffusion wording
cycle58_rank4_obj2,58.0,7_c2_x10_290623,control,fit_quality_blocked_retrack_front,17.274258957705644,2.864937236969792e-06,3.532320969673908e-06,1.0,0.0463618936749117,0.0638815235850928,0.55,,,selected nonnegative; selected fit quality; manual QC accepted; publication-ready gate,best positive radius2 fits remain weak; needs manual/retracked front boundary before diffusion wording
cycle157_rank4_obj8,157.0,18_c2_xN_HighHighCOV_170723,control,fit_quality_blocked_retrack_front,16.884539479174048,1.2026280201615871e-06,1.4725518102318024e-06,1.0,0.065878890002745,0.065878890002745,0.7,,,selected nonnegative; selected fit quality; manual QC accepted; publication-ready gate,best positive radius2 fits remain weak; needs manual/retracked front boundary before diffusion wording
cycle60_rank4_obj5,60.0,7_c2_x10_290623,event,fit_quality_blocked_retrack_front,16.001919353398144,1.2281125674270095e-06,1.0160291174348963e-06,1.0,0.005119466297234,0.037743037680392,0.55,,,selected fit quality; q70 bootstrap positive; manual QC accepted; publication-ready gate,best positive radius2 fits remain weak; needs manual/retracked front boundary before diffusion wording
cycle118_rank1_obj7,118.0,13_c2_x6_100723,control,fit_quality_blocked_retrack_front,15.50565364416766,1.197560368428275e-06,2.2012864438556477e-06,0.8571428571428571,0.0697114454869479,0.0697114454869479,0.7,,,selected nonnegative; selected fit quality; manual QC accepted; publication-ready gate,best positive radius2 fits remain weak; needs manual/retracked front boundary before diffusion wording
cycle157_rank1_obj1,157.0,18_c2_xN_HighHighCOV_170723,control,fit_quality_blocked_retrack_front,14.935701498438252,1.1382129826953457e-06,1.238747464701779e-06,0.7142857142857143,0.0206922875509792,0.0297697360584063,0.6,,,selected nonnegative; selected fit quality; manual QC accepted; publication-ready gate,best positive radius2 fits remain weak; needs manual/retracked front boundary before diffusion wording
cycle153_rank17_obj2,153.0,17_c2_x10_HighHighCOV_150723,future8_positive,fit_quality_blocked_retrack_front,13.284193694282347,2.0965415290160466e-05,2.0965415290160466e-05,1.0,0.2813449927826972,0.3119031490743216,0.6,,,HDF5 timing stability; q70 positive CI; publication-ready gate,best positive radius2 fits remain weak; needs manual/retracked front boundary before diffusion wording
cycle139_rank11_obj3,139.0,16_c2_x10_HighHighCOV_130723,future8_negative,guarded_review_only,13.224900462465708,8.986448877065399e-06,1.170196182487912e-05,0.8571428571428571,0.5815426104088335,0.6407236329971461,0.65,,,HDF5 timing stability; q70 positive CI; publication-ready gate,use as optical-front proxy review row only
cycle140_rank9_obj2,140.0,16_c2_x10_HighHighCOV_130723,future8_negative,source_context_common_not_candidate_specific,12.236003658826956,8.007605674208981e-06,8.616339745488977e-06,1.0,0.3677270105627852,0.5358984163384277,0.55,,,HDF5 timing stability; q70 positive CI; publication-ready gate,diffusion proxy is not exceptional within its source; avoid candidate-specific diffusion claim
cycle153_rank17_obj1,153.0,17_c2_x10_HighHighCOV_150723,future8_positive,fit_quality_blocked_retrack_front,11.911892983943906,1.4778848079399394e-05,1.4778848079399394e-05,1.0,0.3313076584128896,0.4034921964382196,0.55,,,HDF5 timing stability; q70 positive CI; publication-ready gate,best positive radius2 fits remain weak; needs manual/retracked front boundary before diffusion wording
cycle158_rank12_obj3,158.0,18_c2_xN_HighHighCOV_170723,future8_negative,fit_quality_blocked_retrack_front,9.730081923363311,6.706942219824927e-07,9.092560154213304e-07,0.7142857142857143,0.0185444881304921,0.0185444881304921,0.7,,,radius2 fit quality; q70 positive CI; publication-ready gate,best positive radius2 fits remain weak; needs manual/retracked front boundary before diffusion wording
