shift,target,pooled_oof_roc_auc,pooled_oof_average_precision,n_scored
1,future_any_drop_within_8cycles_circular_shift_1,0.7507716049382716,0.7888692594856896,72
2,future_any_drop_within_8cycles_circular_shift_2,0.6929012345679013,0.6914424667328507,72
3,future_any_drop_within_8cycles_circular_shift_3,0.6365740740740741,0.6231326641729258,72
4,future_any_drop_within_8cycles_circular_shift_4,0.6774691358024691,0.6969067401055881,72
5,future_any_drop_within_8cycles_circular_shift_5,0.6682098765432098,0.613897401677904,72
6,future_any_drop_within_8cycles_circular_shift_6,0.28395061728395055,0.38402047244515336,72
7,future_any_drop_within_8cycles_circular_shift_7,0.4182098765432099,0.46562299527787043,72
8,future_any_drop_within_8cycles_circular_shift_8,0.54320987654321,0.5375823819470265,72
9,future_any_drop_within_8cycles_circular_shift_9,0.7754629629629629,0.6376893994830257,72
10,future_any_drop_within_8cycles_circular_shift_10,0.7800925925925926,0.6536012382358732,72
11,future_any_drop_within_8cycles_circular_shift_11,0.5555555555555556,0.48807428420445953,72
12,future_any_drop_within_8cycles_circular_shift_12,0.3279320987654321,0.3946970464741951,72
13,future_any_drop_within_8cycles_circular_shift_13,0.21450617283950615,0.367283300592252,72
14,future_any_drop_within_8cycles_circular_shift_14,0.46836419753086417,0.5754085039449173,72
15,future_any_drop_within_8cycles_circular_shift_15,0.6126543209876544,0.5953584490504668,72
16,future_any_drop_within_8cycles_circular_shift_16,0.6890432098765432,0.7289937894448484,72
17,future_any_drop_within_8cycles_circular_shift_17,0.7746913580246914,0.8020859569114924,72
18,future_any_drop_within_8cycles_circular_shift_18,0.5725308641975309,0.6062532965398517,72
19,future_any_drop_within_8cycles_circular_shift_19,0.6087962962962963,0.6339353171478435,72
20,future_any_drop_within_8cycles_circular_shift_20,0.5848765432098767,0.5948388952427154,72
21,future_any_drop_within_8cycles_circular_shift_21,0.7353395061728395,0.7275234776984952,72
22,future_any_drop_within_8cycles_circular_shift_22,0.6867283950617284,0.6400678480233041,72
23,future_any_drop_within_8cycles_circular_shift_23,0.5740740740740741,0.5215653112008689,72
