feature_set,target,group_col,n_eval,n_positive,n_groups,roc_auc,average_precision,spearman_rho,spearman_p,base_roc_auc,base_average_precision,delta_roc_auc_vs_acquisition,delta_average_precision_vs_acquisition
front_plus_kinetic_plus_timebase,near_vs_any_non_near,cycleNo,128,32,64,0.7981770833333334,0.6613032260170015,0.44727927508850823,1.2031468613684193e-07,0.6064453125,0.30663607192666775,0.19173177083333337,0.3546671540903338
kinetic_family,near_vs_any_non_near,cycleNo,128,32,64,0.7783203125,0.6055529986097764,0.41749320982606386,9.445113703698554e-07,0.6064453125,0.30663607192666775,0.171875,0.29891692668310865
front_plus_kinetic_plus_qc,near_vs_any_non_near,cycleNo,128,32,64,0.7516276041666666,0.6292136751067756,0.3774529253749092,1.1226470398503287e-05,0.6064453125,0.30663607192666775,0.14518229166666663,0.32257760318010786
front_plus_kinetic,near_vs_any_non_near,cycleNo,128,32,64,0.7327473958333333,0.5678090264565024,0.34913174856799495,5.3660994811834436e-05,0.6064453125,0.30663607192666775,0.12630208333333326,0.2611729545298347
concordance_score,near_vs_any_non_near,cycleNo,128,32,64,0.708984375,0.47541414079296607,0.3134865779572708,0.00031436215806497576,0.6064453125,0.30663607192666775,0.1025390625,0.16877806886629831
timebase_context,near_vs_any_non_near,cycleNo,128,32,64,0.6354166666666667,0.5019845461291255,0.20512461416817743,0.020194736090604362,0.6064453125,0.30663607192666775,0.02897135416666674,0.1953484742024577
qc_family,near_vs_any_non_near,cycleNo,128,32,64,0.5804036458333333,0.5898877362206855,0.1424000390811358,0.10883516703620749,0.6064453125,0.30663607192666775,-0.02604166666666674,0.2832516642940177
front_family,near_vs_any_non_near,cycleNo,128,32,64,0.4124348958333333,0.21267222513891226,-0.13135185275779723,0.1394319439486555,0.6064453125,0.30663607192666775,-0.19401041666666669,-0.09396384678775549
kinetic_family,near_vs_any_non_near,source_stem,128,32,14,0.7591145833333333,0.6005256011616615,0.38868373686730623,5.79049063143784e-06,0.43294270833333337,0.21422460276208083,0.3261718749999999,0.3863009983995807
front_plus_kinetic_plus_qc,near_vs_any_non_near,source_stem,128,32,14,0.71875,0.6466405424222543,0.32813501403873085,0.00015604009265825342,0.43294270833333337,0.21422460276208083,0.28580729166666663,0.4324159396601735
front_plus_kinetic,near_vs_any_non_near,source_stem,128,32,14,0.7047526041666666,0.5618956753419557,0.3071382795094669,0.0004212210806863186,0.43294270833333337,0.21422460276208083,0.27180989583333326,0.3476710725798749
concordance_score,near_vs_any_non_near,source_stem,128,32,14,0.6897786458333333,0.43773786621699234,0.28469742896017197,0.0011257214445987312,0.43294270833333337,0.21422460276208083,0.2568359374999999,0.22351326345491151
qc_family,near_vs_any_non_near,source_stem,128,32,14,0.61474609375,0.6255026432174365,0.17369169025363754,0.04990814878803797,0.43294270833333337,0.21422460276208083,0.18180338541666663,0.4112780404553557
front_plus_kinetic_plus_timebase,near_vs_any_non_near,source_stem,128,32,14,0.5065104166666666,0.2796461597598163,0.009765923036866991,0.9128792550451597,0.43294270833333337,0.21422460276208083,0.07356770833333326,0.0654215569977355
timebase_context,near_vs_any_non_near,source_stem,128,32,14,0.31640625,0.23212264532298488,-0.27615543486900956,0.0016034079092636325,0.43294270833333337,0.21422460276208083,-0.11653645833333337,0.01789804256090405
front_family,near_vs_any_non_near,source_stem,128,32,14,0.2522786458333333,0.17139878647526902,-0.37162048617271165,1.568300351836945e-05,0.43294270833333337,0.21422460276208083,-0.18066406250000006,-0.04282581628681181
