feature,timebase_feature,n,spearman_rho,p_value,abs_rho
visual_artifact_risk_score,h5_dt_max_to_median_ratio,17,0.783780494772676,0.00019694126152673498,0.783780494772676
visual_review_score,roi_elapsed_to_h5_max_abs_error,17,0.7128857766525344,0.0013177564338344371,0.7128857766525344
visual_artifact_risk_score,strict_timebase_fraction,17,-0.6976315752707978,0.0018489112066464267,0.6976315752707978
visual_sanity_score,h5_dt_max_to_median_ratio,17,-0.6931927993969396,0.002032785206432953,0.6931927993969396
visual_artifact_risk_score,roi_elapsed_to_h5_max_abs_error,17,0.5973536434197111,0.011338883193642372,0.5973536434197111
visual_review_score,h5_dt_max_to_median_ratio,17,0.5868507222167272,0.01326931845663707,0.5868507222167272
visual_review_score,strict_timebase_fraction,17,-0.5773502691896258,0.015231027044400798,0.5773502691896258
visual_sanity_score,strict_timebase_fraction,17,0.5051814855409226,0.03859575366553399,0.5051814855409226
front_evidence_score,roi_elapsed_to_h5_max_abs_error,61,0.44576559213176725,0.00031788806789749915,0.44576559213176725
front_radius2_slope_px2_per_norm_time_source_echem_context_residual,roi_elapsed_to_h5_max_abs_error,53,0.43586086482208264,0.0011053587217263183,0.43586086482208264
q75_avrami_n,roi_elapsed_to_h5_max_abs_error,72,0.37971428672043933,0.0010028238628319523,0.37971428672043933
visual_sanity_score,roi_elapsed_to_h5_max_abs_error,17,-0.35972505120219966,0.156128602437977,0.35972505120219966
front_raw_outward_z_mean,roi_elapsed_to_h5_max_abs_error,38,0.33691301110379446,0.03860247145948534,0.33691301110379446
q55_phase_fraction_delta,roi_elapsed_to_h5_max_abs_error,72,0.327031159711982,0.005048392385084348,0.327031159711982
front_kinetic_concordance_score,roi_elapsed_to_h5_max_abs_error,61,0.3255497905062902,0.010461783206937482,0.3255497905062902
front_radius2_slope_px2_per_norm_time,h5_dt_max_to_median_ratio,30,0.3060071799182652,0.1000575922453335,0.3060071799182652
front_radius2_slope_px2_per_norm_time,roi_elapsed_to_h5_max_abs_error,30,0.3019421398898307,0.10488089030824428,0.3019421398898307
front_quantile_positive_fraction,strict_timebase_fraction,38,-0.29653898666431533,0.07063276623056695,0.29653898666431533
q75_logistic_amp,roi_elapsed_to_h5_max_abs_error,71,0.2885574146568411,0.014669983830295191,0.2885574146568411
front_quantile_positive_fraction,roi_elapsed_to_h5_max_abs_error,38,0.2678225537029707,0.104019405901368,0.2678225537029707
q55_phase_fraction_slope,strict_timebase_fraction,72,0.2650537493895563,0.0244424375962599,0.2650537493895563
front_residual_outward_z_mean,roi_elapsed_to_h5_max_abs_error,38,0.24972501348481577,0.1305195919685029,0.24972501348481577
front_quantile_positive_fraction,h5_dt_max_to_median_ratio,38,0.22844033136415312,0.16774696176618736,0.22844033136415312
front_radius2_slope_px2_per_norm_time_source_echem_context_residual,h5_dt_max_to_median_ratio,53,0.21106086401495852,0.1292530438219187,0.21106086401495852
masked_minus_bg_slope,strict_timebase_fraction,72,0.20749157149182437,0.08030850855793985,0.20749157149182437
qc_evidence_score,h5_dt_max_to_median_ratio,17,-0.2008683680070677,0.4394943340445181,0.2008683680070677
front_consensus_score,roi_elapsed_to_h5_max_abs_error,38,0.19650492864378943,0.2370294189983923,0.19650492864378943
q65_phase_fraction_slope,strict_timebase_fraction,72,0.1833957760927738,0.12306373197472646,0.1833957760927738
kinetic_evidence_score,roi_elapsed_to_h5_max_abs_error,72,0.1728746205837865,0.14645277439614954,0.1728746205837865
kinetic_evidence_score,strict_timebase_fraction,72,0.17000922309330127,0.15336502948241712,0.17000922309330127
q75_logistic_amp,strict_timebase_fraction,71,-0.16259552695161636,0.17549069365703718,0.16259552695161636
front_raw_outward_z_mean,h5_dt_max_to_median_ratio,38,0.1543493105056792,0.35483574515591204,0.1543493105056792
strict_qc_priority_score,h5_dt_max_to_median_ratio,17,-0.14966662714252105,0.566419317373876,0.14966662714252105
qc_evidence_score,roi_elapsed_to_h5_max_abs_error,17,0.14572803169140205,0.5767905237126981,0.14572803169140205
q75_phase_fraction_slope,strict_timebase_fraction,72,0.13520418529467265,0.2574764655272673,0.13520418529467265
front_evidence_score,h5_dt_max_to_median_ratio,61,0.13435165130841273,0.3019310935451286,0.13435165130841273
strict_qc_priority_score,roi_elapsed_to_h5_max_abs_error,17,0.13391224533804516,0.6083736880538014,0.13391224533804516
