feature,timebase_feature,n,spearman_rho,p_value,abs_rho
persistence_mse_mean,strict_timebase_fraction,56,-0.58261316991113,2.466139467522725e-06,0.58261316991113
persistence_mse_mean,h5_dt_max_to_median_ratio,56,0.5677263469888629,5.038877236731783e-06,0.5677263469888629
temporal_energy_mean,strict_timebase_fraction,56,-0.5538148002957509,9.527349621057944e-06,0.5538148002957509
velocity_mse_mean,strict_timebase_fraction,56,-0.5538148002957509,9.527349621057944e-06,0.5538148002957509
temporal_energy_mean,h5_dt_max_to_median_ratio,56,0.5531851647583882,9.799417994783987e-06,0.5531851647583882
velocity_mse_mean,h5_dt_max_to_median_ratio,56,0.5488434847559243,1.1880884744467789e-05,0.5488434847559243
velocity_minus_persistence_mse,strict_timebase_fraction,56,-0.5383079858874699,1.8752348458720675e-05,0.5383079858874699
velocity_minus_persistence_mse,h5_dt_max_to_median_ratio,56,0.5365765158600737,2.0183554277865725e-05,0.5365765158600737
temporal_energy_p95,strict_timebase_fraction,56,-0.5294469490827379,2.720756214954815e-05,0.5294469490827379
temporal_energy_p95,h5_dt_max_to_median_ratio,56,0.5285823114110924,2.819810688168515e-05,0.5285823114110924
persistence_mse_p95,h5_dt_max_to_median_ratio,56,0.5190030491834337,4.163678173296242e-05,0.5190030491834337
stage_drift_xy_recomputed,roi_elapsed_to_h5_max_abs_error,56,0.509282807395723,6.110881566361298e-05,0.509282807395723
velocity_mse_p95,h5_dt_max_to_median_ratio,56,0.4951582669476791,0.00010457078599739358,0.4951582669476791
persistence_mse_p95,strict_timebase_fraction,56,-0.48735702426026084,0.00013930275641449365,0.48735702426026084
velocity_mse_p95,strict_timebase_fraction,56,-0.4762807282543458,0.00020688528942232792,0.4762807282543458
persistence_mse_late_mean,h5_dt_max_to_median_ratio,56,0.4710378224895458,0.00024832461836549056,0.4710378224895458
persistence_mse_late_mean,strict_timebase_fraction,56,-0.4496976178401498,0.000506920293191611,0.4496976178401498
temporal_energy_late_minus_early,roi_elapsed_to_h5_max_abs_error,56,0.3584298046478607,0.006677452664374743,0.3584298046478607
