feature_set,target,group_col,n_eval,n_positive,n_groups,roc_auc,average_precision,spearman_rho,spearman_p,base_roc_auc,base_average_precision,delta_roc_auc_vs_acquisition,delta_average_precision_vs_acquisition
transport_scores,future_any_drop_within_16cycles,cycleNo,128,66,64,0.6977028347996089,0.7449229974873195,0.34227455657238653,7.668421648340602e-05,0.6874389051808407,0.7042602292390219,0.010263929618768208,0.04066276824829762
transport_plus_physics_plus_timebase,future_any_drop_within_16cycles,cycleNo,128,66,64,0.6867057673509286,0.7521529045886475,0.32323579879023895,0.000198014999319972,0.6874389051808407,0.7042602292390219,-0.0007331378299121338,0.0478926753496256
transport_plus_physics,future_any_drop_within_16cycles,cycleNo,128,66,64,0.6847507331378299,0.7408788829403954,0.3198511307400793,0.00023289449072097718,0.6874389051808407,0.7042602292390219,-0.0026881720430108613,0.036618653701373516
transport_plus_timebase,future_any_drop_within_16cycles,cycleNo,128,66,64,0.6737536656891495,0.7360535492401867,0.30081237295793173,0.000560198395906862,0.6874389051808407,0.7042602292390219,-0.013685239491691203,0.03179332000116486
physics_family,future_any_drop_within_16cycles,cycleNo,128,66,64,0.604594330400782,0.6332647451299666,0.18107974068353697,0.040802757761241336,0.6874389051808407,0.7042602292390219,-0.08284457478005869,-0.07099548410905532
physics_plus_timebase,future_any_drop_within_16cycles,cycleNo,128,66,64,0.5982404692082112,0.6291574959831808,0.1700795695205184,0.0549384253075399,0.6874389051808407,0.7042602292390219,-0.08919843597262955,-0.07510273325584105
timebase_context,future_any_drop_within_16cycles,cycleNo,128,66,64,0.43010752688172044,0.6325655797945442,-0.1210711843434235,0.17340612919848827,0.6874389051808407,0.7042602292390219,-0.2573313782991203,-0.07169464944447768
physics_residual,future_any_drop_within_16cycles,cycleNo,128,66,64,0.34799608993157377,0.43139837098492373,-0.2631579408999065,0.002689442009712876,0.6874389051808407,0.7042602292390219,-0.33944281524926695,-0.27286185825409814
transport_scores,future_any_drop_within_16cycles,source_stem,128,66,14,0.6292766373411535,0.7002529537476441,0.22381117481680154,0.011098043550268276,0.6089931573802542,0.5524115822455613,0.020283479960899298,0.14784137150208276
transport_plus_physics,future_any_drop_within_16cycles,source_stem,128,66,14,0.5691593352883675,0.6602472974598784,0.11973263227439478,0.17824457071207636,0.6089931573802542,0.5524115822455613,-0.039833822091886684,0.10783571521431712
physics_family,future_any_drop_within_16cycles,source_stem,128,66,14,0.49560117302052786,0.5341152803969205,-0.007615503112859032,0.9320104838173937,0.6089931573802542,0.5524115822455613,-0.1133919843597263,-0.01829630184864084
transport_plus_timebase,future_any_drop_within_16cycles,source_stem,128,66,14,0.4499022482893451,0.4916950921161695,-0.08673211878533897,0.3303188427947466,0.6089931573802542,0.5524115822455613,-0.15909090909090906,-0.06071649012939179
physics_residual,future_any_drop_within_16cycles,source_stem,128,66,14,0.43695014662756604,0.5000117294829409,-0.10915554461764614,0.22000758580526772,0.6089931573802542,0.5524115822455613,-0.17204301075268813,-0.05239985276262038
transport_plus_physics_plus_timebase,future_any_drop_within_16cycles,source_stem,128,66,14,0.4310850439882698,0.5067798250936806,-0.11930954876812484,0.17979433896770441,0.6089931573802542,0.5524115822455613,-0.17790811339198437,-0.045631757151880725
timebase_context,future_any_drop_within_16cycles,source_stem,128,66,14,0.3734115347018573,0.504279014577155,-0.21975918899572544,0.012686542741871816,0.6089931573802542,0.5524115822455613,-0.23558162267839688,-0.048132567668406345
physics_plus_timebase,future_any_drop_within_16cycles,source_stem,128,66,14,0.3670576735092864,0.4307170371824829,-0.23015742741085074,0.00896002878947236,0.6089931573802542,0.5524115822455613,-0.24193548387096775,-0.12169454506307842
transport_plus_timebase,future_any_drop_within_8cycles,cycleNo,128,32,64,0.9225260416666666,0.756326758311939,0.6338084050926678,9.757017938125657e-16,0.61328125,0.32347954380638577,0.30924479166666663,0.4328472145055532
transport_plus_physics_plus_timebase,future_any_drop_within_8cycles,cycleNo,128,32,64,0.9205729166666667,0.7544675722934859,0.6308786281816076,1.44603544394812e-15,0.61328125,0.32347954380638577,0.30729166666666674,0.43098802848710016
transport_plus_physics,future_any_drop_within_8cycles,cycleNo,128,32,64,0.8551432291666667,0.6527659616383584,0.5327311016610945,9.622141985039658e-11,0.61328125,0.32347954380638577,0.24186197916666674,0.32928641783197266
physics_plus_timebase,future_any_drop_within_8cycles,cycleNo,128,32,64,0.8333333333333334,0.6471998962806356,0.50001525948759,1.8645044598385016e-09,0.61328125,0.32347954380638577,0.22005208333333337,0.3237203524742498
transport_scores,future_any_drop_within_8cycles,cycleNo,128,32,64,0.8313802083333333,0.6946191620690337,0.49708548257652985,2.3951728148448424e-09,0.61328125,0.32347954380638577,0.21809895833333326,0.37113961826264796
physics_family,future_any_drop_within_8cycles,cycleNo,128,32,64,0.7796223958333333,0.5520566776052183,0.4194463944334373,8.30067639488811e-07,0.61328125,0.32347954380638577,0.16634114583333326,0.2285771337988325
timebase_context,future_any_drop_within_8cycles,cycleNo,128,32,64,0.6354166666666666,0.5090770914805994,0.2040015849415476,0.020903751067295813,0.61328125,0.32347954380638577,0.02213541666666663,0.18559754767421366
physics_residual,future_any_drop_within_8cycles,cycleNo,128,32,64,0.5201822916666666,0.29839406254844725,0.030274361414287673,0.7344341522264164,0.61328125,0.32347954380638577,-0.09309895833333337,-0.025085481257938524
transport_scores,future_any_drop_within_8cycles,source_stem,128,32,14,0.7981770833333334,0.7487228395374177,0.44727927508850823,1.2031468613684193e-07,0.5530598958333333,0.2580909554770473,0.2451171875000001,0.4906318840603704
transport_plus_physics,future_any_drop_within_8cycles,source_stem,128,32,14,0.7395833333333333,0.5930748086444744,0.3593859677567053,3.097615894816149e-05,0.5530598958333333,0.2580909554770473,0.1865234375,0.33498385316742707
transport_plus_timebase,future_any_drop_within_8cycles,source_stem,128,32,14,0.6569010416666666,0.3950320444221677,0.23535874518849448,0.007487742159649605,0.5530598958333333,0.2580909554770473,0.10384114583333337,0.13694108894512041
transport_plus_physics_plus_timebase,future_any_drop_within_8cycles,source_stem,128,32,14,0.6432291666666667,0.35349415780639737,0.2148503068110738,0.01487449330960414,0.5530598958333333,0.2580909554770473,0.09016927083333348,0.09540320232935007
