feature,timebase_feature,n,spearman_rho,p_value,abs_rho
visual_artifact_risk_score,h5_dt_max_to_median_ratio,17,0.783780494772676,0.00019694126152673498,0.783780494772676
visual_review_score,roi_elapsed_to_h5_max_abs_error,17,0.7128857766525344,0.0013177564338344371,0.7128857766525344
visual_artifact_risk_score,strict_timebase_fraction,17,-0.6976315752707978,0.0018489112066464267,0.6976315752707978
visual_sanity_score,h5_dt_max_to_median_ratio,17,-0.6931927993969396,0.002032785206432953,0.6931927993969396
visual_artifact_risk_score,roi_elapsed_to_h5_max_abs_error,17,0.5973536434197111,0.011338883193642372,0.5973536434197111
visual_review_score,h5_dt_max_to_median_ratio,17,0.5868507222167272,0.01326931845663707,0.5868507222167272
visual_review_score,strict_timebase_fraction,17,-0.5773502691896258,0.015231027044400798,0.5773502691896258
gradient_aligned_flow_mean,strict_timebase_fraction,72,0.511366324579851,4.423971808747173e-06,0.511366324579851
visual_sanity_score,strict_timebase_fraction,17,0.5051814855409226,0.03859575366553399,0.5051814855409226
visual_front_plausibility_score,roi_elapsed_to_h5_max_abs_error,17,0.4951833674179499,0.04327274050005284,0.4951833674179499
gradient_aligned_flow_mean,roi_elapsed_to_h5_max_abs_error,72,-0.4911793263762642,1.1820236523592111e-05,0.4911793263762642
observable_tail_frame_diff_energy,h5_dt_max_to_median_ratio,72,0.4843019723579187,1.6291570312214243e-05,0.4843019723579187
observable_tail_frame_diff_energy,strict_timebase_fraction,72,-0.45648145728201356,5.572647805447286e-05,0.45648145728201356
front_evidence_score,roi_elapsed_to_h5_max_abs_error,61,0.44576559213176725,0.00031788806789749915,0.44576559213176725
observable_prefix_front_radius_q70_slope,roi_elapsed_to_h5_max_abs_error,72,0.43979381333353235,0.00011090435257155594,0.43979381333353235
observable_prefix_front_radius2_q70_slope,roi_elapsed_to_h5_max_abs_error,72,0.439242327398099,0.00011338723650655893,0.439242327398099
front_radius2_slope_px2_per_norm_time_source_echem_context_residual,roi_elapsed_to_h5_max_abs_error,53,0.43586086482208264,0.0011053587217263183,0.43586086482208264
divergence_q90,strict_timebase_fraction,72,-0.3841940710848619,0.0008628719140772333,0.3841940710848619
radial_flow_mean,h5_dt_max_to_median_ratio,72,0.36177477364428356,0.0017930331753408244,0.36177477364428356
visual_sanity_score,roi_elapsed_to_h5_max_abs_error,17,-0.35972505120219966,0.156128602437977,0.35972505120219966
cycleNo,strict_timebase_fraction,72,-0.35618540749882405,0.002134669517868613,0.35618540749882405
observable_prefix_particle_mean_slope,h5_dt_max_to_median_ratio,72,0.3526590355350616,0.002379183946287199,0.3526590355350616
gradient_aligned_flow_mean,h5_dt_max_to_median_ratio,72,-0.34383526056812785,0.003104386339438811,0.34383526056812785
radial_flow_mean,strict_timebase_fraction,72,-0.33734113558670803,0.0037579379808832486,0.33734113558670803
qc_review_score,roi_elapsed_to_h5_max_abs_error,72,0.3364388609634922,0.0038578109206128335,0.3364388609634922
observable_tail_front_radius_q70_delta,roi_elapsed_to_h5_max_abs_error,72,-0.33569273293320007,0.003942174571140221,0.33569273293320007
front_kinetic_score,roi_elapsed_to_h5_max_abs_error,72,0.32647967377654863,0.005127322453177728,0.32647967377654863
radial_flow_q90,h5_dt_max_to_median_ratio,72,0.325636224698827,0.005250149963257031,0.325636224698827
front_kinetic_concordance_score,roi_elapsed_to_h5_max_abs_error,61,0.3255497905062902,0.010461783206937482,0.3255497905062902
divergence_q90,h5_dt_max_to_median_ratio,72,0.31574191821016967,0.0068973887614967805,0.31574191821016967
visual_front_plausibility_score,strict_timebase_fraction,17,-0.30736733128436655,0.23010000799175812,0.30736733128436655
transport_raw_score,roi_elapsed_to_h5_max_abs_error,72,0.30708034498895165,0.008695920824909543,0.30708034498895165
front_radius2_slope_px2_per_norm_time,h5_dt_max_to_median_ratio,30,0.3060071799182652,0.1000575922453335,0.3060071799182652
abs_radial_flow_q90,roi_elapsed_to_h5_max_abs_error,72,0.30500416264379077,0.009183568690243074,0.30500416264379077
flow_acceleration_mean,roi_elapsed_to_h5_max_abs_error,72,0.30341458553577694,0.009572900244635852,0.30341458553577694
front_radius2_slope_px2_per_norm_time,roi_elapsed_to_h5_max_abs_error,30,0.3019421398898307,0.10488089030824428,0.3019421398898307
radial_flow_q90,strict_timebase_fraction,72,-0.29985878718818487,0.010496304482418152,0.29985878718818487
