method,x,target,n,spearman_rho,p_value,abs_rho
velocity,residual_peak_particle_mse,future_any_drop_within_8cycles,48,0.7229328950334322,6.528462765862427e-09,0.7229328950334322
persistence,residual_peak_particle_mse,future_any_drop_within_8cycles,48,0.6466741508315933,6.850309194525064e-07,0.6466741508315933
velocity,residual_peak_particle_mse,future_any_drop_within_16cycles,48,0.6286086538361646,1.717162979318587e-06,0.6286086538361646
velocity,particle_to_nonparticle_mse_ratio_median,future_any_drop_within_16cycles,48,0.5834599659915783,1.3463724344971292e-05,0.5834599659915783
persistence,particle_to_nonparticle_mse_ratio_median,future_any_drop_within_8cycles,48,0.5673650568616809,2.6101641624324156e-05,0.5673650568616809
persistence,residual_peak_particle_mse,future_any_drop_within_16cycles,48,0.541784254135037,6.980673363208747e-05,0.541784254135037
velocity,particle_to_nonparticle_mse_ratio_median,future_any_drop_within_8cycles,48,0.491106312659842,0.0003937062914150837,0.491106312659842
persistence,particle_to_nonparticle_mse_ratio_median,future_any_drop_within_16cycles,48,0.46190580640999945,0.0009501977266539186,0.46190580640999945
velocity,residual_peak_particle_mse,any_abrupt_drop,48,-0.4317699790476102,0.002181975196324958,0.4317699790476102
low_rank_dmd,weighted_center_distance_to_transition_frac,future_any_drop_within_16cycles,48,-0.41675711856541303,0.0032126651314757994,0.41675711856541303
low_rank_dmd,weighted_center_distance_to_transition_frac,any_abrupt_drop,48,0.3833471776590932,0.007155967030417818,0.3833471776590932
low_rank_dmd,peak_distance_to_transition_frac,future_any_drop_within_16cycles,48,-0.3544263514137652,0.013449925010093894,0.3544263514137652
low_rank_dmd,near_transition_residual_fraction,any_abrupt_drop,48,-0.3510653100667485,0.014422419381105845,0.3510653100667485
velocity,particle_to_nonparticle_mse_ratio_median,any_abrupt_drop,48,-0.3510653100667485,0.014422419381105845,0.3510653100667485
low_rank_dmd,peak_distance_to_transition_frac,future_any_drop_within_8cycles,48,-0.34791931809486754,0.01538638735444876,0.34791931809486754
persistence,residual_peak_particle_mse,any_abrupt_drop,48,-0.34299484316866236,0.01700520211695959,0.34299484316866236
low_rank_dmd,near_transition_residual_fraction,future_any_drop_within_16cycles,48,0.3334056948523304,0.020574262312254066,0.3334056948523304
persistence,weighted_center_distance_to_transition_frac,any_abrupt_drop,48,0.32281867592344693,0.025228329711569294,0.32281867592344693
persistence,near_minus_far_particle_mse_median,future_any_drop_within_16cycles,48,-0.31951379090015,0.026850185415169335,0.31951379090015
low_rank_dmd,near_transition_residual_fraction,future_any_drop_within_8cycles,48,0.3050349768073553,0.03501643004298232,0.3050349768073553
persistence,peak_distance_to_transition_frac,future_any_drop_within_16cycles,48,0.3022473575259774,0.03680299987174614,0.3022473575259774
low_rank_dmd,residual_peak_particle_mse,future_any_drop_within_8cycles,48,0.30198462703928175,0.03697518425349577,0.30198462703928175
low_rank_dmd,particle_to_nonparticle_mse_ratio_median,future_any_drop_within_8cycles,48,0.2928335777350611,0.04339914310517107,0.2928335777350611
velocity,near_minus_far_particle_mse_median,future_any_drop_within_16cycles,48,-0.28825700700774404,0.04693834816522685,0.28825700700774404
low_rank_dmd,peak_distance_to_transition_frac,any_abrupt_drop,48,0.282612102805235,0.05162339890052355,0.282612102805235
velocity,weighted_center_distance_to_transition_frac,any_abrupt_drop,48,0.27036064108588675,0.0630957070518499,0.27036064108588675
low_rank_dmd,weighted_center_distance_to_transition_frac,future_any_drop_within_8cycles,48,-0.2470783312139578,0.09044638040796267,0.2470783312139578
persistence,particle_to_nonparticle_mse_ratio_median,any_abrupt_drop,48,-0.2300083065954559,0.11578662863141564,0.2300083065954559
velocity,peak_distance_to_transition_frac,future_any_drop_within_16cycles,48,0.22928487239093281,0.1169688682707615,0.22928487239093281
persistence,peak_distance_to_transition_frac,future_any_drop_within_8cycles,48,0.19833733641493118,0.1765772108725097,0.19833733641493118
persistence,near_minus_far_particle_mse_median,any_abrupt_drop,48,0.19772643900311124,0.17794081368770923,0.19772643900311124
low_rank_dmd,particle_to_nonparticle_mse_ratio_median,any_abrupt_drop,48,-0.19369120555406813,0.18713871718809658,0.19369120555406813
velocity,near_minus_far_particle_mse_median,any_abrupt_drop,48,0.19369120555406813,0.18713871718809658,0.19369120555406813
persistence,near_minus_far_particle_mse_median,future_any_drop_within_8cycles,48,-0.19217203538863384,0.19068796152306633,0.19217203538863384
low_rank_dmd,near_minus_far_particle_mse_median,future_any_drop_within_8cycles,48,0.1799706363163396,0.2209409306352178,0.1799706363163396
low_rank_dmd,particle_to_nonparticle_mse_ratio_median,future_any_drop_within_16cycles,48,0.17712177539030052,0.2284586698916932,0.17712177539030052
persistence,near_transition_residual_fraction,future_any_drop_within_16cycles,48,-0.17364879940225544,0.23785921834116144,0.17364879940225544
