cohort_role,event_reference_cycle,cycleNo,n_roi,phase_slope_median_per_s,phase_slope_abs_median_per_s,diffusion_proxy_median_um2_per_s,diffusion_proxy_abs_median_um2_per_s,threshold_robust_phase_score,threshold_robust_diffusion_score
transfer_warning,40.0,40.0,4,1.579959827620567e-06,1.579959827620567e-06,1.6849444500767296e-06,2.4347422058529455e-06,0.6614583333333333,0.22135416666666666
transfer_warning,116.0,116.0,4,3.2543432530308756e-06,3.2543432530308756e-06,-1.6780139540117393e-06,2.504638403772934e-06,0.96875,0.8020833333333334
transfer_warning,146.0,146.0,4,2.6414309254655345e-06,2.6414309254655345e-06,-5.687505858196595e-06,5.687505858196595e-06,0.609375,0.7291666666666666
transfer_warning,147.0,147.0,4,3.909132403986564e-06,3.909132403986564e-06,-6.33450776439659e-06,6.33450776439659e-06,0.7291666666666666,0.7005208333333333
transfer_warning,148.0,148.0,4,3.3765221287578366e-06,3.3765221287578366e-06,-4.353616710013648e-06,4.353616710013648e-06,0.8125,0.6588541666666666
transfer_warning,150.0,150.0,4,2.4705466750303487e-06,2.4705466750303487e-06,1.3687511179022188e-06,2.054080447165175e-06,1.0104166666666665,0.40625
transfer_warning,151.0,151.0,4,1.2258811901810323e-06,1.565964235467684e-06,4.741825678594232e-06,4.741825678594232e-06,0.39843749999999994,0.6510416666666666
transfer_warning,152.0,152.0,4,-1.5472924804072575e-07,1.6667132100887825e-06,5.194038952323007e-06,5.194038952323007e-06,-0.04687500000000008,0.30729166666666663
transfer_warning,153.0,153.0,4,-1.3935186192669693e-06,3.018320940162996e-06,1.3511416840558193e-05,1.3511416840558193e-05,0.12239583333333333,0.5494791666666666
transfer_warning,154.0,154.0,4,-6.67914978256358e-07,1.769973706739252e-06,7.467421729518639e-06,7.467421729518639e-06,-0.14062500000000003,0.40624999999999994
transfer_warning,155.0,155.0,4,-6.67807191344622e-07,1.502714981701497e-06,5.82196543897763e-06,5.82196543897763e-06,0.015624999999999944,0.21875
transfer_warning,156.0,156.0,4,2.3041508190211656e-06,2.3041508190211656e-06,-2.1560943576052454e-07,1.328166129774129e-06,0.9843749999999999,0.4739583333333333
