roi_id,cycleNo,cohort_role,is_event_roi,event_reference_cycle,validation_score,front_quality_score,degradation_mode_hypothesis,timing_elapsed_s,thresholds_finite,phase_slope_median_per_s,phase_slope_iqr_per_s,phase_slope_positive_fraction,phase_slope_negative_fraction,phase_slope_abs_median_per_s,radius2_slope_median_px2_per_s,radius2_slope_iqr_px2_per_s,radius2_slope_positive_fraction,radius2_slope_negative_fraction,diffusion_proxy_median_um2_per_s,diffusion_proxy_iqr_um2_per_s,default_q70_diffusion_proxy_um2_per_s,q70_phase_slope_bootstrap_p05,q70_phase_slope_bootstrap_p50,q70_phase_slope_bootstrap_p95,q70_radius2_slope_bootstrap_p05_px2_per_s,q70_radius2_slope_bootstrap_p50_px2_per_s,q70_radius2_slope_bootstrap_p95_px2_per_s,threshold_robust_phase_score,diffusion_proxy_abs_median_um2_per_s,threshold_robust_diffusion_score
cycle151_rank4_obj2,151.0,transfer_warning,0,151.0,,,,12438.259448892,7,2.8469592578113266e-06,1.1879054390126776e-07,1.0,0.0,2.8469592578113266e-06,0.00426999601662779,0.0025306803330875103,1.0,0.0,9.838070822310428e-06,5.830687487433623e-06,9.838070822310428e-06,-1.258396450327988e-07,2.9859151530782217e-06,6.652542936091624e-06,0.0016401751088248567,0.004094682563558044,0.007038920112085607,1.2604166666666665,9.838070822310428e-06,0.8020833333333333
cycle150_rank1_obj3,150.0,transfer_warning,0,150.0,,,,12435.337381064,7,2.8773778913258605e-06,1.2811305522515334e-07,1.0,0.0,2.8773778913258605e-06,0.0022394574689418747,0.001962125783929217,1.0,0.0,5.15971000844208e-06,4.5207378061729174e-06,5.15971000844208e-06,-8.436951016445604e-07,2.8966151201005286e-06,6.1982267839268045e-06,-1.128038790058382e-05,0.002234006156902078,0.005017810853518571,1.2604166666666665,5.15971000844208e-06,0.6979166666666666
cycle150_rank1_obj2,150.0,transfer_warning,0,150.0,,,,12435.337381064,7,3.987483102929889e-06,6.97779241258328e-07,1.0,0.0,3.987483102929889e-06,0.0007317504868457934,0.0003461226740864294,1.0,0.0,1.685953121692708e-06,7.974666410951332e-07,1.685953121692708e-06,4.7469648183287e-08,3.8226434771098175e-06,7.946252925864158e-06,-0.00042676206437048905,0.0007594533614306133,0.0018355726548771778,1.21875,1.685953121692708e-06,0.90625
cycle156_rank3_obj2,156.0,transfer_warning,0,156.0,,,,19462.04443982,7,3.2426969483629712e-06,5.739964952655868e-07,1.0,0.0,3.2426969483629712e-06,0.0008353240720802626,0.0006072810884611068,1.0,0.0,1.924586662072925e-06,1.3991756278143903e-06,1.924586662072925e-06,1.420172864047808e-06,3.3513009977085855e-06,5.093123946692938e-06,0.0004506549248024885,0.0008537593631571905,0.0011780647157672557,1.1979166666666665,1.924586662072925e-06,0.7395833333333333
cycle156_rank3_obj4,156.0,transfer_warning,0,156.0,,,,19462.04443982,7,3.3050077487735446e-06,8.20602352800324e-07,1.0,0.0,3.3050077487735446e-06,0.000130436947028769,0.0005565662391155272,0.7142857142857143,0.2857142857142857,3.005267259542838e-07,1.2823286149221747e-06,3.005267259542838e-07,1.2908181814582183e-06,3.264149592174798e-06,4.813795170140239e-06,-0.0001956792038023455,0.0001320584048719096,0.00043903834328221493,1.1354166666666665,3.005267259542838e-07,0.10416666666666666
cycle116_rank12_obj3,116.0,transfer_warning,0,116.0,,,,9126.745852742,7,5.1832549124478305e-06,1.8361543116815298e-06,1.0,0.0,5.1832549124478305e-06,-0.002217048126676388,0.0003602688243489931,0.0,1.0,-5.108078883862397e-06,8.300593713000792e-07,-6.041162978270216e-06,3.1358602371677553e-06,5.1672633547816804e-06,7.366551321630772e-06,-0.0035338917222489173,-0.0026257831637996063,-0.0019359516289283267,1.03125,5.108078883862397e-06,1.2395833333333335
cycle116_rank12_obj2,116.0,transfer_warning,0,116.0,,,,9126.745852742,7,2.9470402822794685e-06,1.062794404847646e-06,1.0,0.0,2.9470402822794685e-06,-0.0005507999615298364,0.00019497841387502535,0.0,1.0,-1.269043111364743e-06,4.492302655680585e-07,-1.2043995538486076e-06,1.1719807253976127e-06,2.977234282405192e-06,4.844394309710272e-06,-0.0007999516270192005,-0.0005358050449893981,-0.00026566561197455046,1.03125,1.269043111364743e-06,0.8229166666666666
cycle40_rank8_obj4,40.0,transfer_warning,0,40.0,,,,9322.243530232,7,2.202532801714303e-06,2.3459195150396086e-07,1.0,0.0,2.202532801714303e-06,0.0004633870617749615,0.0005122816660880437,0.5714285714285714,0.42857142857142855,1.0676437903295113e-06,1.1802969586668527e-06,1.6084515692821207e-06,2.479345004038346e-07,2.284811972149898e-06,4.33701696032743e-06,0.00027450112844938087,0.0007453053391562907,0.0011073733363123153,0.96875,1.0676437903295113e-06,0.06250000000000001
cycle147_rank11_obj2,147.0,transfer_warning,0,147.0,,,,12424.30955664,7,3.5450136708526837e-06,1.5357107291936307e-06,1.0,0.0,3.5450136708526837e-06,-0.0030985626073469987,0.0006427234010697403,0.0,1.0,-7.139088247327485e-06,1.4808347160646824e-06,-7.329787579826575e-06,5.143567338728801e-08,3.7921358928509334e-06,6.921873591963848e-06,-0.0036885160063138875,-0.003216593532157387,-0.0025558491134804154,0.9687499999999999,7.139088247327485e-06,1.15625
cycle148_rank9_obj3,148.0,transfer_warning,0,148.0,,,,12429.281505696,7,3.208670667020309e-06,1.3090249632689619e-06,1.0,0.0,3.208670667020309e-06,-0.0019070888403060003,0.0005625964160155892,0.0,1.0,-4.3939326880650246e-06,1.2962221424999176e-06,-3.896455088859233e-06,3.7397438608818866e-07,3.2815021803033836e-06,6.285593785072431e-06,-0.002779575855736672,-0.0017856780695470011,-0.00028816472261547477,0.9479166666666665,4.3939326880650246e-06,1.0104166666666665
