feature,target,n,rho,p_value
shape_charge_mAh_neg_abs,capacity_mAh,81,0.9999096657633243,1.2527644729254265e-149
neg_dq_abs_total_mAh,capacity_mAh,81,0.9996386630532973,7.534061507706006e-126
echem_shape_duration_s,capacity_mAh,81,0.9845076784101174,1.679770795675678e-61
shape_charge_mAh_abs,capacity_mAh,81,0.9845076784101174,1.679770795675678e-61
shape_charge_mAh_signed,coulombic_efficiency_pct,81,-0.9683830171635048,2.135680177968716e-49
shape_dIdt_slope,capacity_mAh,81,0.9336043360433603,5.845781532050688e-37
all_dq_abs_total_mAh,capacity_mAh,81,0.9242095754290875,9.07415200883968e-35
neg_dq_abs_highV_frac,capacity_mAh,81,0.9162827461607949,3.954114443084493e-33
neg_dq_abs_entropy,capacity_mAh,81,0.8909439927732611,8.250604979635381e-29
all_dq_abs_highV_frac,capacity_mAh,81,0.8789295392953929,4.03372439792979e-27
shape_charge_mAh_pos,capacity_mAh,81,0.8753387533875339,1.1912337792568011e-26
neg_dq_abs_peak_voltage,capacity_mAh,81,-0.8288610723800138,1.2713830716912933e-21
pos_dq_abs_total_mAh,capacity_mAh,81,0.8219963866305329,5.222876827331294e-21
shape_V_mean,capacity_mAh,81,0.8163504968383017,1.5966615249484837e-20
shape_V_q25,capacity_mAh,81,0.7824584592652343,6.355375941958371e-18
shape_V_q75,capacity_mAh,81,0.7743491046872166,2.2756817067349772e-17
shape_dVdt_slope,capacity_mAh,81,0.7519873532068654,5.925187282127659e-16
shape_V_q50,capacity_mAh,81,0.6949101999580404,6.172256719175142e-13
all_dq_abs_midV_frac,particle_norm_mean,81,-0.6940757344043235,6.750705128648446e-13
pos_dq_abs_highV_frac,particle_norm_mean,81,0.6822080070569834,2.3376009814985512e-12
pos_dq_abs_midV_frac,particle_norm_mean,81,-0.6808868613865375,2.6746127506409685e-12
shape_V_max,capacity_mAh,81,0.6782751852145122,3.483346544327066e-12
neg_dq_abs_midV_frac,particle_norm_mean,81,-0.6779171065888682,3.6110741016728434e-12
neg_dq_abs_midV_frac,capacity_mAh,81,-0.6744805781391148,5.0889362420987685e-12
shape_V_range,capacity_mAh,81,0.6706983261729247,7.384574121810755e-12
shape_V_std,particle_norm_mean,81,0.6459160225713978,7.450377226817443e-11
neg_dq_abs_peak_voltage,particle_norm_mean,81,-0.6385898338442,1.4179043717009914e-10
neg_dq_abs_peak_frac,capacity_mAh,81,-0.6273261065943992,3.6905266437368905e-10
shape_V_q95,particle_norm_mean,81,0.6272729441813557,3.706888812461618e-10
shape_V_max,particle_norm_mean,81,0.6259293890844787,4.144221338910567e-10
all_dq_abs_entropy,particle_norm_mean,81,0.6198205726192545,6.835398362244087e-10
shape_V_q90,particle_norm_mean,81,0.610006605328634,1.4936285248994358e-09
all_dqdv_abs_integral_proxy,coulombic_efficiency_pct,81,0.6055103884372177,2.1180166484063235e-09
neg_dq_abs_peak_frac,particle_norm_mean,81,-0.6050508415342681,2.19432048190609e-09
pos_dq_abs_peak_frac,particle_norm_mean,81,-0.6048814638842109,2.2231007768478555e-09
shape_V_q90,capacity_mAh,81,0.6028072499989883,2.6061106578687355e-09
