feature,target,n,rho,p_value
shape_V_q95,mode_review_priority,38,-0.864331896081363,2.7184357694349973e-12
neg_dq_abs_peak_frac,mode_review_priority,38,0.841153541059388,3.806317706797963e-11
pos_dq_abs_midV_frac,mode_review_priority,38,0.8402705561061699,4.173619388718952e-11
all_dq_abs_entropy,mode_review_priority,38,-0.8391668249146471,4.67934408430111e-11
pos_dq_abs_peak_frac,mode_review_priority,38,0.8391668249146471,4.67934408430111e-11
pos_dq_abs_highV_frac,mode_review_priority,38,-0.8389460786763427,4.787125388261086e-11
pos_dq_abs_entropy,mode_review_priority,38,-0.8005362332113555,1.6068748237892247e-09
all_dq_abs_peak_frac,mode_review_priority,38,0.7901611600110429,3.6511110563681258e-09
all_dq_abs_midV_frac,mode_review_priority,38,0.7899404137727384,3.7135745838757607e-09
pos_dqdv_abs_integral_proxy,mode_review_priority,38,0.7579322092185825,3.5804627370115605e-08
shape_V_std,mode_review_priority,38,-0.6824369957184353,2.3673431766074197e-06
neg_dq_abs_midV_frac,mode_review_priority,38,0.6815540107652173,2.4681385697032827e-06
shape_V_range,q70_transformed_fraction_delta,38,-0.6674635780030577,4.711981554623204e-06
shape_dVdt_sign_consistency,mode_review_priority,38,0.6157716317504691,3.869876599518147e-05
shape_V_q50,mode_review_priority,38,-0.611135960746074,4.5907540909716716e-05
shape_V_q90,q70_transformed_fraction_delta,38,-0.5950667348863239,8.132884984916007e-05
echem_shape_duration_s,q70_transformed_fraction_delta,38,-0.5941838465556321,8.385090076989004e-05
shape_charge_mAh_abs,q70_transformed_fraction_delta,38,-0.5941838465556321,8.385090076989004e-05
all_dq_abs_total_mAh,q70_transformed_fraction_delta,38,-0.5862378515794052,0.000109938932004147
neg_dq_abs_entropy,q70_transformed_fraction_delta,38,-0.5862378515794052,0.000109938932004147
neg_dq_abs_total_mAh,q70_transformed_fraction_delta,38,-0.5862378515794052,0.000109938932004147
shape_charge_mAh_neg_abs,q70_transformed_fraction_delta,38,-0.5862378515794052,0.000109938932004147
shape_charge_mAh_pos,q70_logistic_k_per_s,38,-0.5809405215952539,0.00013118781683225258
shape_charge_mAh_pos,q70_transformed_fraction_delta,38,-0.5703458616269513,0.00018512763405080678
pos_dq_abs_total_mAh,q70_logistic_k_per_s,38,-0.5699044174616055,0.00018775579200104033
shape_dVdt_sign_consistency,q70_transformed_fraction_delta,38,0.5659314199734921,0.0002129627785670681
pos_dq_abs_total_mAh,q70_transformed_fraction_delta,38,-0.5623998666507245,0.00023787829587808163
shape_V_max,q70_transformed_fraction_delta,38,-0.5621941270992175,0.00023940736526259867
neg_dq_abs_midV_frac,q70_transformed_fraction_delta,38,0.5606340899893407,0.0002512917736539345
shape_V_q50,q70_transformed_fraction_delta,38,-0.5526880950131139,0.0003204405753062227
shape_V_q75,q70_transformed_fraction_delta,38,-0.5500394300210383,0.00034701838222308493
shape_V_q75,mode_review_priority,38,-0.5493270140208074,0.0003544958266092224
shape_V_max,q70_logistic_k_per_s,38,-0.5481948267010947,0.0003666760976397068
